"Data","Nuovi casi","Deceduti","Dimessi_Guariti","Ricoverati","Terapia intensiva"
2020-03-10,0,0,0,3,0
2020-03-11,-1,0,0,4,0
2020-03-12,1,0,0,5,0
2020-03-13,0,0,0,6,1
2020-03-14,2,0,0,6,1
2020-03-15,1,0,0,7,2
2020-03-16,0,0,0,7,2
2020-03-17,8,0,0,9,3
2020-03-18,6,0,0,10,3
2020-03-19,7,0,0,14,5
2020-03-20,7,0,0,13,8
2020-03-21,4,0,0,13,9
2020-03-22,7,0,0,12,10
2020-03-23,1,0,0,11,11
2020-03-24,3,0,0,9,12
2020-03-25,2,0,0,13,12
2020-03-26,2,0,0,13,12
2020-03-27,62,0,0,15,12
2020-03-28,3,0,4,16,13
2020-03-29,5,1,0,22,11
2020-03-30,11,5,1,22,10
2020-03-31,5,5,0,20,8
2020-04-01,1,1,2,27,7
2020-04-02,6,2,2,46,9
2020-04-03,4,2,1,68,8
2020-04-04,0,3,2,60,8
2020-04-05,7,1,0,57,7
2020-04-06,1,1,0,56,7
2020-04-07,4,2,1,57,7
2020-04-08,7,0,2,56,7
2020-04-09,4,1,1,55,7
2020-04-10,3,-1,2,55,7
2020-04-11,5,0,3,57,6
2020-04-12,1,0,0,57,6
2020-04-13,1,0,2,56,5
2020-04-14,1,0,0,57,5
2020-04-15,6,2,0,58,4
2020-04-16,4,0,4,60,2
2020-04-17,1,1,4,60,1
2020-04-18,2,0,2,60,2
2020-04-19,0,0,3,58,1
2020-04-20,0,0,2,55,2
2020-04-21,0,1,1,53,2
2020-04-22,0,0,2,50,2
2020-04-23,4,0,3,50,2
2020-04-24,0,2,1,49,2
2020-04-25,0,0,5,49,2
2020-04-26,1,0,0,49,2
2020-04-27,3,1,3,48,2
2020-04-28,0,1,6,48,2
2020-04-29,1,0,2,48,2
2020-04-30,1,0,6,47,2
2020-05-01,0,0,2,47,2
2020-05-02,0,1,0,46,2
2020-05-03,0,0,6,47,2
2020-05-04,1,0,1,46,2
2020-05-05,0,0,1,46,2
2020-05-06,1,1,0,45,2
2020-05-07,1,0,5,42,0
2020-05-08,0,0,1,41,0
2020-05-09,0,0,2,39,0
2020-05-10,0,0,9,39,0
2020-05-11,1,0,3,39,0
2020-05-12,0,0,0,39,0
2020-05-13,0,0,1,38,0
2020-05-14,0,0,4,37,1
2020-05-15,0,0,-2,37,1
2020-05-16,0,0,2,37,1
2020-05-17,0,0,5,37,1
2020-05-18,0,0,2,36,1
2020-05-19,1,0,8,36,1
2020-05-20,1,0,5,36,1
2020-05-21,0,0,2,34,1
2020-05-22,1,0,6,34,1
2020-05-23,0,0,2,32,1
2020-05-24,0,0,1,32,1
2020-05-25,0,0,1,32,1
2020-05-26,0,0,10,32,1
2020-05-27,0,0,6,28,1
2020-05-28,0,0,4,25,1
2020-05-29,0,0,3,22,1
2020-05-30,0,0,1,21,1
2020-05-31,0,0,1,20,1
2020-06-01,0,0,2,18,1
2020-06-02,0,0,0,18,1
2020-06-03,0,0,0,18,0
2020-06-04,0,0,4,14,0
2020-06-05,0,0,0,14,0
2020-06-06,0,0,0,14,0
2020-06-07,0,0,0,14,0
2020-06-08,0,0,0,14,0
2020-06-09,0,0,0,15,0
2020-06-10,0,0,2,14,0
2020-06-11,0,0,0,14,1
2020-06-12,0,0,0,14,1
2020-06-13,0,0,0,14,1
2020-06-14,0,0,0,14,1
2020-06-15,0,0,1,14,1
2020-06-16,0,0,0,15,0
2020-06-17,0,0,0,15,0
2020-06-18,0,0,0,15,0
2020-06-19,0,0,0,15,0
2020-06-20,0,0,0,15,0
2020-06-21,0,0,0,15,0
2020-06-22,0,0,3,12,0
2020-06-23,0,0,6,6,0
2020-06-24,0,0,0,6,0
2020-06-25,0,0,0,6,0
2020-06-26,0,0,0,6,0
2020-06-27,0,0,0,6,0
2020-06-28,0,0,5,1,0
2020-06-29,0,0,0,1,0
2020-06-30,0,0,0,1,0
2020-07-01,0,0,0,1,0
2020-07-02,0,0,0,1,0
2020-07-03,0,0,0,1,0
2020-07-04,0,0,0,1,0
2020-07-05,0,0,0,1,0
2020-07-06,0,0,0,1,0
2020-07-07,0,0,0,1,0
2020-07-08,0,0,0,1,0
2020-07-09,0,0,0,1,0
2020-07-10,0,0,1,1,0
2020-07-11,0,0,0,1,0
2020-07-12,1,0,0,1,0
2020-07-13,0,0,0,1,0
2020-07-14,0,0,0,1,0
2020-07-15,0,0,0,1,0
2020-07-16,0,0,0,1,0
2020-07-17,1,0,0,2,0
2020-07-18,1,0,0,3,0
2020-07-19,0,0,1,2,0
2020-07-20,0,0,-1,2,0
2020-07-21,0,0,0,2,0
2020-07-22,0,0,0,2,0
2020-07-23,0,0,0,2,0
2020-07-24,0,0,0,2,0
