"data","Nuovi casi","Deceduti","Dimessi_Guariti","Ricoverati","Terapia intensiva"
2020-03-10,2,0,1,"4","1"
2020-03-11,-1,0,0,"6","1"
2020-03-12,3,0,-1,"11","1"
2020-03-13,2,0,0,"17","1"
2020-03-14,5,0,0,"20","1"
2020-03-15,2,0,0,"24","1"
2020-03-16,0,0,0,"29","1"
2020-03-17,10,0,0,"29","2"
2020-03-18,4,0,0,"NA","NA"
2020-03-19,7,1,0,"28","3"
2020-03-20,7,1,0,"NA","NA"
2020-03-21,5,0,0,"NA","NA"
2020-03-22,13,1,0,"NA","NA"
2020-03-23,5,0,0,"50","4"
2020-03-24,16,2,0,"39","3"
2020-03-25,15,0,0,"42","3"
2020-03-26,8,2,0,"40","3"
2020-03-27,21,1,0,"44","3"
2020-03-28,26,2,0,"48","3"
2020-03-29,17,1,1,"51","3"
2020-03-30,13,0,1,"53","3"
2020-03-31,2,0,0,"54","3"
2020-04-01,2,0,1,"56","3"
2020-04-02,6,1,0,"53","4"
2020-04-03,9,0,2,"54","4"
2020-04-04,1,1,0,"54","4"
2020-04-05,26,3,1,"51","4"
2020-04-06,13,1,0,"54","4"
2020-04-07,11,0,2,"51","5"
2020-04-08,12,0,2,"51","6"
2020-04-09,9,0,0,"51","6"
2020-04-10,14,0,0,"51","6"
2020-04-11,2,0,0,"51","7"
2020-04-12,0,0,4,"49","6"
2020-04-13,4,1,1,"48","5"
2020-04-14,22,1,0,"49","5"
2020-04-15,1,1,3,"46","5"
2020-04-16,39,1,2,"48","4"
2020-04-17,10,0,4,"44","4"
2020-04-18,18,0,5,"41","4"
2020-04-19,22,2,4,"36","4"
2020-04-20,1,0,0,"37","4"
2020-04-21,9,0,7,"33","4"
2020-04-22,9,0,2,"33","4"
2020-04-23,4,0,0,"35","4"
2020-04-24,9,2,4,"33","3"
2020-04-25,8,0,10,"32","3"
2020-04-26,0,0,10,"29","3"
2020-04-27,2,2,10,"29","1"
2020-04-28,1,0,10,"28","1"
2020-04-29,0,1,3,"26","1"
2020-04-30,4,0,2,"26","1"
2020-05-01,3,0,12,"22","6"
2020-05-02,0,1,1,"20","6"
2020-05-03,2,0,3,"23","0"
2020-05-04,0,0,15,"23","0"
2020-05-05,0,0,2,"22","0"
2020-05-06,0,0,5,"18","0"
2020-05-07,1,0,8,"16","0"
2020-05-08,0,1,4,"13","0"
2020-05-09,0,0,1,"12","0"
2020-05-10,2,1,7,"10","0"
2020-05-11,1,2,17,"9","0"
2020-05-12,1,0,1,"10","0"
2020-05-13,0,0,18,"10","0"
2020-05-14,1,1,13,"9","0"
2020-05-15,1,0,3,"8","0"
2020-05-16,1,0,25,"8","0"
2020-05-17,0,0,0,"8","0"
2020-05-18,0,0,6,"8","0"
2020-05-19,0,0,8,"7","0"
2020-05-20,1,0,2,"5","0"
2020-05-21,0,0,16,"5","0"
2020-05-22,0,0,8,"5","0"
2020-05-23,0,0,3,"4","0"
2020-05-24,0,0,4,"4","0"
2020-05-25,0,0,5,"4","0"
2020-05-26,0,0,15,"3","0"
2020-05-27,0,0,25,"2","0"
2020-05-28,0,0,15,"2","0"
2020-05-29,0,0,5,"2","0"
2020-05-30,0,0,1,"2","0"
2020-05-31,0,0,4,"2","0"
2020-06-01,0,0,7,"2","0"
2020-06-02,0,0,15,"2","0"
2020-06-03,0,0,0,"2","0"
2020-06-04,0,0,2,"2","0"
2020-06-05,0,0,5,"1","0"
2020-06-06,0,0,5,"1","0"
2020-06-07,0,0,0,"1","0"
2020-06-08,0,0,14,"1","0"
2020-06-09,0,0,9,"0","0"
2020-06-10,0,0,9,"1","0"
2020-06-11,0,0,1,"1","0"
2020-06-12,0,0,2,"1","0"
2020-06-13,0,0,2,"1","0"
2020-06-14,0,0,1,"1","0"
2020-06-15,0,0,5,"1","0"
2020-06-16,0,0,1,"1","0"
2020-06-17,0,0,3,"1","0"
2020-06-18,0,0,1,"1","0"
2020-06-19,0,0,1,"1","0"
2020-06-20,0,0,4,"1","0"
2020-06-21,0,0,0,"1","0"
2020-06-22,0,0,1,"1","0"
2020-06-23,0,0,0,"1","0"
2020-06-24,0,0,0,"1","0"
2020-06-25,0,0,0,"1","0"
2020-06-26,0,0,1,"0","0"
2020-06-27,0,0,0,"0","0"
2020-06-28,0,0,0,"0","0"
2020-06-29,0,0,0,"0","0"
2020-06-30,0,0,0,"0","0"
2020-07-01,0,0,0,"0","0"
2020-07-02,0,0,1,"0","0"
2020-07-03,0,0,0,"0","0"
2020-07-04,1,0,0,"0","0"
2020-07-05,0,0,0,"0","0"
2020-07-06,0,0,0,"0","0"
2020-07-07,0,0,0,"0","0"
2020-07-08,0,0,0,"0","0"
2020-07-09,0,0,0,"0","0"
2020-07-10,0,0,1,"0","0"
2020-07-11,0,0,0,"0","0"
2020-07-12,0,0,0,"0","0"
2020-07-13,0,0,0,"0","0"
2020-07-14,0,0,0,"0","0"
2020-07-15,2,0,0,"0","0"
2020-07-16,8,0,0,"0","0"
2020-07-17,0,0,1,"0","0"
2020-07-18,6,0,0,"0","0"
2020-07-19,1,0,0,"0","0"
2020-07-20,0,0,0,"0","0"
2020-07-21,0,0,0,"0","0"
2020-07-22,1,0,0,"0","0"
2020-07-23,1,0,0,"0","0"
2020-07-24,0,0,0,"0","0"
2020-07-25,0,0,0,"0","0"
2020-07-26,0,0,0,"0","0"
2020-07-27,0,0,1,"0","0"
2020-07-28,0,0,0,"0","0"
2020-07-29,3,0,0,"0","0"
2020-07-30,1,0,0,"0","0"
2020-07-31,0,0,0,"0","0"
2020-08-01,0,0,0,"0","0"
2020-08-02,0,0,0,"0","0"
2020-08-03,0,0,0,"0","0"
2020-08-04,0,0,0,"0","0"
2020-08-05,0,0,0,"0","0"
2020-08-06,0,0,0,"1","0"
2020-08-07,1,0,1,"1","0"
2020-08-08,0,0,0,"1","0"
2020-08-09,0,0,0,"1","0"
2020-08-10,1,0,0,"1","0"
2020-08-11,1,0,0,"1","0"
2020-08-12,1,0,0,"1","0"
2020-08-13,1,0,0,"1","0"
2020-08-14,0,0,0,"1","0"
2020-08-15,1,0,0,"2","0"
2020-08-16,0,0,0,"2","0"
2020-08-17,0,0,0,"2","0"
2020-08-18,2,0,0,"3","0"
2020-08-19,0,0,0,"3","0"
2020-08-20,1,0,0,"3","0"
2020-08-21,1,0,0,"3","0"
2020-08-22,4,0,0,"3","0"
2020-08-23,1,0,0,"3","0"
2020-08-24,0,0,0,"5","0"
2020-08-25,1,0,5,"6","0"
2020-08-26,2,0,4,"6","0"
2020-08-27,2,0,0,"6","0"
2020-08-28,2,0,0,"6","0"
2020-08-29,5,0,0,"8","0"
2020-08-30,7,0,0,"8","0"
2020-08-31,0,0,0,"8","0"
2020-09-01,2,0,0,"9","0"
2020-09-02,1,0,1,"9","0"
2020-09-03,8,0,4,"8","1"
2020-09-04,5,0,0,"8","1"
2020-09-05,8,0,0,"11","0"
2020-09-06,8,0,2,"11","1"
2020-09-07,4,0,0,"13","2"
2020-09-08,2,0,4,"11","2"
2020-09-09,17,0,3,"10","2"
2020-09-10,4,0,0,"10","3"
2020-09-11,4,0,0,"10","3"
2020-09-12,4,0,0,"11","3"
2020-09-13,6,0,1,"13","3"
2020-09-14,0,0,1,"13","2"
2020-09-15,1,0,0,"13","2"
2020-09-16,6,0,3,"10","2"
2020-09-17,8,0,0,"9","3"
2020-09-18,3,0,6,"8","3"
2020-09-19,2,0,0,"8","3"
2020-09-20,8,0,0,"9","3"
2020-09-21,0,0,3,"10","3"
2020-09-22,0,0,2,"9","3"
2020-09-23,8,0,1,"10","3"
2020-09-24,3,0,5,"11","3"
2020-09-25,0,0,0,"12","2"
2020-09-26,7,2,0,"11","0"
2020-09-27,3,0,0,"12","0"
2020-09-28,0,0,0,"12","0"
2020-09-29,2,0,5,"12","0"
2020-09-30,0,0,2,"10","0"
2020-10-01,1,0,3,"9","0"
2020-10-02,4,0,0,"10","0"
2020-10-03,9,0,1,"11","0"
2020-10-04,8,0,1,"10","0"
2020-10-05,3,0,2,"10","0"
2020-10-06,4,0,7,"9","0"
2020-10-07,1,0,2,"9","0"
2020-10-08,2,0,2,"9","0"
2020-10-09,1,0,1,"10","0"
2020-10-10,8,0,8,"10","0"
2020-10-11,10,0,1,"10","0"
2020-10-12,1,0,3,"10","0"
2020-10-13,5,0,2,"9","0"
2020-10-14,11,0,8,"9","0"
2020-10-15,16,0,10,"12","0"
2020-10-16,19,0,0,"14","0"
2020-10-17,35,0,2,"16","1"
2020-10-18,24,0,0,"16","1"
2020-10-19,32,0,0,"19","1"
2020-10-20,23,0,0,"21","2"
2020-10-21,49,1,7,"26","2"
2020-10-22,82,0,28,"25","2"
2020-10-23,38,0,0,"27","3"
2020-10-24,91,0,0,"28","3"
2020-10-25,62,0,9,"32","3"
2020-10-26,66,1,0,"37","3"
2020-10-27,44,1,6,"43","2"
2020-10-28,51,0,5,"44","5"
2020-10-29,96,2,1,"46","3"
2020-10-30,67,0,1,"49","4"
2020-10-31,76,2,0,"50","5"
2020-11-01,79,1,1,"56","7"
2020-11-02,101,0,8,"61","10"
2020-11-03,104,0,8,"65","14"
2020-11-04,58,1,0,"66","17"
2020-11-05,85,3,2,"65","15"
2020-11-06,39,1,12,"67","15"
2020-11-07,94,2,1,"71","15"
2020-11-08,61,3,0,"74","15"
