Data;Nuovi casi;Deceduti;Dimessi_Guariti;Ricoverati
2020-03-10;-1;0;0;0
2020-03-11;4;0;0;0
2020-03-12;0;0;0;0
2020-03-13;0;0;0;0
2020-03-14;12;0;0;0
2020-03-15;-11;0;0;0
2020-03-16;0;0;0;0
2020-03-17;0;0;0;0
2020-03-18;2;0;0;0
2020-03-19;0;0;0;0
2020-03-20;0;0;0;0
2020-03-21;3;0;0;2
2020-03-22;3;0;0;2
2020-03-23;6;0;0;2
2020-03-24;1;0;0;2
2020-03-25;2;0;0;2
2020-03-26;5;1;0;3
2020-03-27;1;0;0;3
2020-03-28;10;0;0;3
2020-03-29;0;0;0;3
2020-03-30;5;0;0;5
2020-03-31;0;0;0;5
2020-04-01;0;0;0;5
2020-04-02;4;0;0;4
2020-04-03;6;1;0;4
2020-04-04;3;0;0;7
2020-04-05;3;3;1;7
2020-04-06;0;-1;0;8
2020-04-07;0;0;0;8
2020-04-08;1;0;0;8
2020-04-09;0;0;0;8
2020-04-10;4;1;0;9
2020-04-11;3;0;3;8
2020-04-12;0;0;0;8
2020-04-13;0;0;0;8
2020-04-14;0;0;2;7
2020-04-15;0;0;1;6
2020-04-16;2;0;1;5
2020-04-17;0;0;0;5
2020-04-18;0;0;0;5
2020-04-19;1;0;2;3
2020-04-20;0;0;0;3
2020-04-21;0;0;0;3
2020-04-22;0;0;0;3
2020-04-23;0;0;0;3
2020-04-24;1;0;1;2
2020-04-25;0;0;1;1
2020-04-26;0;0;0;1
2020-04-27;1;0;0;1
2020-04-28;0;0;1;1
2020-04-29;2;0;1;0
2020-04-30;0;0;0;0
2020-05-01;0;0;0;0
2020-05-02;0;0;0;0
2020-05-03;0;0;1;0
2020-05-04;0;0;2;0
2020-05-05;0;0;2;0
2020-05-06;0;0;0;0
2020-05-07;0;0;0;0
2020-05-08;0;0;1;0
2020-05-09;0;0;0;0
2020-05-10;1;0;0;0
2020-05-11;0;0;0;0
2020-05-12;0;0;1;0
2020-05-13;1;0;0;0
2020-05-14;0;0;2;0
2020-05-15;0;0;14;0
2020-05-16;4;0;0;0
2020-05-17;0;0;10;0
2020-05-18;0;0;1;0
2020-05-19;0;0;1;0
2020-05-20;0;0;1;0
2020-05-21;0;0;9;0
2020-05-22;0;0;3;0
2020-05-23;0;0;0;0
2020-05-24;0;0;2;0
2020-05-25;0;0;3;0
2020-05-26;0;0;0;0
2020-05-27;0;0;4;0
2020-05-28;0;0;0;0
2020-05-29;0;0;0;0
2020-05-30;0;0;0;0
2020-05-31;0;0;1;0
2020-06-01;0;0;0;0
2020-06-02;0;0;0;0
2020-06-03;0;0;0;0
2020-06-04;0;0;0;0
2020-06-05;0;0;0;0
2020-06-06;0;0;1;0
2020-06-07;0;0;0;0
2020-06-08;0;0;0;0
2020-06-09;0;0;0;0
2020-06-10;0;0;2;0
2020-06-11;1;0;0;0
2020-06-12;0;0;1;0
2020-06-13;1;0;0;0
2020-06-14;0;0;0;0
2020-06-15;0;0;0;0
2020-06-16;0;0;0;0
2020-06-17;0;0;0;0
2020-06-18;0;0;0;0
2020-06-19;0;0;0;0
2020-06-20;1;0;0;1
2020-06-21;0;0;0;0
2020-06-22;0;0;0;0
2020-06-23;0;0;0;0
2020-06-24;0;0;0;0
2020-06-25;0;0;0;0
2020-06-26;0;0;0;1
2020-06-27;0;0;0;1
2020-06-28;0;0;0;1
2020-06-29;0;0;0;1
2020-06-30;0;0;0;1
2020-07-01;1;0;1;1
2020-07-02;0;0;0;1
