"Data","Nuovi casi","Deceduti","Dimessi_Guariti","Ricoverati","Terapia intensiva"
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,1,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,1,0,0,1,0
2020-03-06,2,0,0,2,0
2020-03-07,0,0,0,2,0
2020-03-08,5,0,0,5,0
2020-03-09,2,0,2,8,0
2020-03-10,2,0,0,8,2
2020-03-11,6,0,0,10,2
2020-03-12,14,0,-1,14,2
2020-03-13,5,0,0,18,3
2020-03-14,22,0,0,22,4
2020-03-15,8,1,0,32,6
2020-03-16,21,0,0,36,7
2020-03-17,25,0,0,45,10
2020-03-18,15,0,1,45,11
2020-03-19,40,2,0,60,13
2020-03-20,38,1,0,71,16
2020-03-21,28,1,3,73,16
2020-03-22,38,3,0,77,17
2020-03-23,19,-1,0,82,20
2020-03-24,27,3,0,88,21
2020-03-25,32,1,2,93,23
2020-03-26,42,3,0,101,23
2020-03-27,101,4,0,103,22
2020-03-28,61,3,4,107,22
2020-03-29,59,4,1,124,19
2020-03-30,33,6,2,130,18
2020-03-31,12,5,3,132,17
2020-04-01,10,2,4,144,16
2020-04-02,22,3,2,163,19
2020-04-03,42,4,3,183,17
2020-04-04,8,4,4,178,15
2020-04-05,54,7,3,174,13
2020-04-06,22,2,4,170,14
2020-04-07,16,2,3,169,14
2020-04-08,26,0,4,170,15
2020-04-09,15,1,4,168,15
2020-04-10,27,4,2,168,14
2020-04-11,14,1,7,169,15
2020-04-12,8,0,5,165,14
2020-04-13,5,1,8,160,12
2020-04-14,28,1,2,161,12
2020-04-15,15,3,9,156,11
2020-04-16,38,1,9,157,9
2020-04-17,-18,1,9,154,7
2020-04-18,20,0,7,152,7
2020-04-19,24,2,10,142,6
2020-04-20,3,0,19,140,7
2020-04-21,9,1,17,133,7
2020-04-22,13,0,11,128,7
2020-04-23,9,0,7,129,7
2020-04-24,10,4,8,123,7
2020-04-25,9,0,19,125,7
2020-04-26,1,0,15,118,8
2020-04-27,7,3,19,114,6
2020-04-28,1,2,17,113,6
2020-04-29,5,1,15,107,6
2020-04-30,6,0,19,105,6
2020-05-01,4,0,17,105,3
2020-05-02,0,2,12,100,4
2020-05-03,2,0,13,95,4
2020-05-04,4,0,32,93,4
2020-05-05,1,0,25,92,4
2020-05-06,3,1,8,87,3
2020-05-07,3,0,14,81,2
2020-05-08,1,1,14,73,2
2020-05-09,3,0,10,68,2
2020-05-10,3,1,18,66,2
2020-05-11,2,2,28,64,1
2020-05-12,4,0,4,65,1
2020-05-13,2,0,19,64,1
2020-05-14,3,2,28,59,2
2020-05-15,1,0,20,56,2
2020-05-16,7,0,38,56,2
2020-05-17,0,0,52,56,2
2020-05-18,0,0,21,53,2
2020-05-19,2,0,21,50,2
2020-05-20,3,1,31,49,1
2020-05-21,0,0,27,47,1
2020-05-22,1,0,25,47,1
2020-05-23,0,0,14,43,1
2020-05-24,0,0,13,43,1
2020-05-25,0,0,11,42,1
2020-05-26,0,0,26,41,1
2020-05-27,1,0,49,35,1
2020-05-28,0,0,20,31,1
2020-05-29,0,1,10,25,1
2020-05-30,0,0,8,23,1
2020-05-31,0,0,7,22,1
2020-06-01,0,0,9,20,1
2020-06-02,0,0,23,20,1
2020-06-03,0,0,2,20,0
2020-06-04,0,0,8,19,0
2020-06-05,1,0,6,18,0
2020-06-06,0,0,6,18,0
2020-06-07,0,0,0,18,0
2020-06-08,0,0,14,18,0
2020-06-09,0,0,9,18,0
2020-06-10,0,0,14,18,0
2020-06-11,2,0,4,16,1
2020-06-12,0,0,5,16,1
2020-06-13,1,0,3,15,1
