"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-01",2012-01-02,2012-01-08,"Piedmont",1,45.0732745,7.680687483,40,299,53324,"5.61",21,"7.56",33,"5.87",204,"6.27",41,"3.31"
"2012-01",2012-01-02,2012-01-08,"Aosta Valley",2,45.73750286,7.320149366,7,23,9475,"2.43",3,"3.91",2,"1.75",15,"2.71",3,"1.48"
"2012-01",2012-01-02,2012-01-08,"Lombardy",3,45.46679409,9.190347404,122,409,172450,"2.37",58,"4.46",53,"2.35",255,"2.53",43,"1.19"
"2012-01",2012-01-02,2012-01-08,"AP Bolzano",21,46.49933453,11.35662422,8,29,13674,"2.12",2,"5",3,"2.33",24,"2.63",0,"0"
"2012-01",2012-01-02,2012-01-08,"AP Trento",22,46.06893511,11.12123097,11,46,14293,"3.22",13,"12.38",9,"3",22,"2.84",2,"0.8"
"2012-01",2012-01-02,2012-01-08,"Veneto",5,45.43490485,12.33845213,76,200,99447,"2.01",17,"2.34",17,"1.22",125,"2.19",41,"1.94"
"2012-01",2012-01-02,2012-01-08,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,15,26,18985,"1.37",3,"1.49",3,"0.89",17,"1.77",3,"0.76"
"2012-01",2012-01-02,2012-01-08,"Liguria",7,44.41149315,8.9326992,35,63,42834,"1.47",19,"7.55",8,"1.82",29,"1.17",7,"0.63"
"2012-01",2012-01-02,2012-01-08,"Emilia Romagna",8,44.49436681,11.3417208,62,269,80350,"3.35",50,"7.22",57,"4.28",136,"3.14",26,"1.55"
"2012-01",2012-01-02,2012-01-08,"Tuscany",9,43.76923077,11.25588885,43,201,54176,"3.71",15,"5.2",28,"4.76",134,"4.15",24,"1.82"
"2012-01",2012-01-02,2012-01-08,"Umbria",10,43.10675841,12.38824698,13,36,16705,"2.16",8,"6.41",14,"5.41",9,"0.99",5,"1.34"
"2012-01",2012-01-02,2012-01-08,"Marche",11,43.61675973,13.5188753,17,43,20853,"2.06",7,"2.72",5,"1.01",23,"2.4",8,"2.11"
"2012-01",2012-01-02,2012-01-08,"Lazio",12,41.89277044,12.48366722,63,267,81360,"3.28",47,"8.88",52,"5.18",147,"2.92",21,"1.34"
"2012-01",2012-01-02,2012-01-08,"Abruzzo",13,42.35122196,13.39843823,19,46,18136,"2.54",12,"6.04",9,"2.19",16,"1.81",9,"2.82"
"2012-01",2012-01-02,2012-01-08,"Molise",14,41.55774754,14.5916051,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2012-01",2012-01-02,2012-01-08,"Campania",15,40.83956555,14.25084984,63,380,76497,"4.97",54,"8.79",79,"5.71",205,"4.62",42,"3.45"
"2012-01",2012-01-02,2012-01-08,"Apulia",16,41.12559576,16.86736689,107,145,138864,"1.04",16,"2.25",15,"1",101,"1.11",13,"0.51"
"2012-01",2012-01-02,2012-01-08,"Basilicata",17,40.63947052,15.80514834,1,1,1511,"0.66",0,"0",0,"0",0,"0",1,"3.08"
"2012-01",2012-01-02,2012-01-08,"Calabria",18,38.90597598,16.59440194,11,32,15114,"2.12",6,"4.83",11,"4.44",12,"1.36",3,"1.16"
"2012-01",2012-01-02,2012-01-08,"Sicily",19,38.11569725,13.3623567,49,236,64828,"3.64",18,"11.89",15,"4.17",174,"3.77",29,"2.14"
"2012-01",2012-01-02,2012-01-08,"Sardinia",20,39.21531192,9.110616306,6,27,6131,"4.4",2,"2.53",4,"2.24",12,"4.94",9,"8.03"
"2012-02",2012-01-09,2012-01-15,"Piedmont",1,45.0732745,7.680687483,37,325,48126,"6.75",26,"9.44",35,"6.41",218,"7.55",46,"4.17"
"2012-02",2012-01-09,2012-01-15,"Aosta Valley",2,45.73750286,7.320149366,6,25,8594,"2.91",3,"7.75",2,"3.11",17,"3.07",3,"1.48"
"2012-02",2012-01-09,2012-01-15,"Lombardy",3,45.46679409,9.190347404,136,671,189595,"3.54",121,"8.37",82,"3.23",393,"3.57",75,"1.88"
"2012-02",2012-01-09,2012-01-15,"AP Bolzano",21,46.49933453,11.35662422,8,37,13895,"2.66",13,"18.36",5,"2.03",15,"1.83",4,"1.6"
"2012-02",2012-01-09,2012-01-15,"AP Trento",22,46.06893511,11.12123097,12,112,15824,"7.08",20,"18",42,"14.54",45,"5.06",5,"1.7"
"2012-02",2012-01-09,2012-01-15,"Veneto",5,45.43490485,12.33845213,79,300,102254,"2.93",28,"3.86",33,"2.36",204,"3.46",35,"1.59"
"2012-02",2012-01-09,2012-01-15,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,16,28,22079,"1.27",2,"2.06",1,"0.39",20,"1.52",5,"0.93"
"2012-02",2012-01-09,2012-01-15,"Liguria",7,44.41149315,8.9326992,40,116,49345,"2.35",16,"5.38",22,"4.39",68,"2.37",10,"0.79"
"2012-02",2012-01-09,2012-01-15,"Emilia Romagna",8,44.49436681,11.3417208,75,471,98258,"4.79",72,"10.42",66,"4.87",284,"5.03",49,"2.3"
"2012-02",2012-01-09,2012-01-15,"Tuscany",9,43.76923077,11.25588885,42,274,53112,"5.16",20,"9.33",40,"7.28",163,"5.01",51,"3.94"
"2012-02",2012-01-09,2012-01-15,"Umbria",10,43.10675841,12.38824698,13,43,15583,"2.76",10,"6.58",18,"5.57",14,"1.82",1,"0.32"
"2012-02",2012-01-09,2012-01-15,"Marche",11,43.61675973,13.5188753,15,77,18119,"4.25",11,"4.34",14,"2.78",40,"5.17",12,"4.26"
"2012-02",2012-01-09,2012-01-15,"Lazio",12,41.89277044,12.48366722,68,425,87029,"4.88",67,"12.74",74,"7.21",251,"4.6",33,"1.95"
"2012-02",2012-01-09,2012-01-15,"Abruzzo",13,42.35122196,13.39843823,15,25,13083,"1.91",12,"5.95",6,"1.66",5,"0.93",2,"0.97"
"2012-02",2012-01-09,2012-01-15,"Molise",14,41.55774754,14.5916051,13,54,15369,"3.51",14,"9.7",19,"6.24",18,"2.43",3,"0.87"
"2012-02",2012-01-09,2012-01-15,"Campania",15,40.83956555,14.25084984,47,392,55356,"7.08",99,"14.78",100,"7.19",158,"5.92",35,"4.33"
"2012-02",2012-01-09,2012-01-15,"Apulia",16,41.12559576,16.86736689,120,271,153318,"1.77",45,"4.65",45,"2.35",156,"1.61",25,"0.9"
"2012-02",2012-01-09,2012-01-15,"Basilicata",17,40.63947052,15.80514834,1,4,1511,"2.65",0,"0",0,"0",4,"3.41",0,"0"
"2012-02",2012-01-09,2012-01-15,"Calabria",18,38.90597598,16.59440194,13,48,17371,"2.76",7,"3.81",12,"3.03",23,"2.55",6,"2.37"
"2012-02",2012-01-09,2012-01-15,"Sicily",19,38.11569725,13.3623567,47,286,60222,"4.75",13,"8.8",31,"9.25",188,"4.4",54,"4.25"
"2012-02",2012-01-09,2012-01-15,"Sardinia",20,39.21531192,9.110616306,6,13,5412,"2.4",8,"7.77",3,"1.33",2,"1.41",0,"0"
"2012-03",2012-01-16,2012-01-22,"Piedmont",1,45.0732745,7.680687483,40,411,53039,"7.75",69,"20.38",72,"11.81",227,"7.1",43,"3.72"
"2012-03",2012-01-16,2012-01-22,"Aosta Valley",2,45.73750286,7.320149366,7,37,9432,"3.92",4,"5.21",7,"6.15",17,"3.11",9,"4.36"
"2012-03",2012-01-16,2012-01-22,"Lombardy",3,45.46679409,9.190347404,144,1187,200217,"5.93",304,"17.6",342,"11.72",474,"4.19",67,"1.65"
"2012-03",2012-01-16,2012-01-22,"AP Bolzano",21,46.49933453,11.35662422,10,67,16699,"4.01",12,"17.19",21,"8.44",33,"3.17",1,"0.32"
"2012-03",2012-01-16,2012-01-22,"AP Trento",22,46.06893511,11.12123097,14,197,18606,"10.59",56,"39.19",73,"20.66",61,"5.88",7,"2.14"
"2012-03",2012-01-16,2012-01-22,"Veneto",5,45.43490485,12.33845213,77,547,99328,"5.51",145,"19.97",108,"7.74",248,"4.36",46,"2.16"
"2012-03",2012-01-16,2012-01-22,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,18,50,24106,"2.07",14,"6.89",5,"1.39",26,"1.99",5,"0.93"
"2012-03",2012-01-16,2012-01-22,"Liguria",7,44.41149315,8.9326992,38,152,45576,"3.34",36,"14.22",35,"7.73",69,"2.58",12,"1.02"
"2012-03",2012-01-16,2012-01-22,"Emilia Romagna",8,44.49436681,11.3417208,75,744,97702,"7.61",198,"23.08",146,"9.18",354,"6.63",46,"2.32"
"2012-03",2012-01-16,2012-01-22,"Tuscany",9,43.76923077,11.25588885,44,373,55292,"6.75",56,"21.45",70,"11.52",197,"5.93",50,"3.73"
"2012-03",2012-01-16,2012-01-22,"Umbria",10,43.10675841,12.38824698,11,41,13855,"2.96",9,"9.42",19,"9.23",12,"1.58",1,"0.31"
"2012-03",2012-01-16,2012-01-22,"Marche",11,43.61675973,13.5188753,21,386,24294,"15.89",192,"48.19",117,"16.12",68,"7.3",9,"2.41"
"2012-03",2012-01-16,2012-01-22,"Lazio",12,41.89277044,12.48366722,70,660,89271,"7.39",140,"22.08",151,"12.64",328,"6.05",41,"2.45"
"2012-03",2012-01-16,2012-01-22,"Abruzzo",13,42.35122196,13.39843823,19,104,17945,"5.8",29,"11.89",47,"10.6",18,"2.21",10,"3.41"
"2012-03",2012-01-16,2012-01-22,"Molise",14,41.55774754,14.5916051,14,223,16130,"13.83",79,"41.27",87,"25.44",40,"5.44",17,"4.95"
"2012-03",2012-01-16,2012-01-22,"Campania",15,40.83956555,14.25084984,56,660,68954,"9.57",158,"22.14",214,"15.15",252,"6.6",36,"3.78"
"2012-03",2012-01-16,2012-01-22,"Apulia",16,41.12559576,16.86736689,116,519,150404,"3.45",111,"12.27",170,"9.37",202,"2.11",36,"1.32"
"2012-03",2012-01-16,2012-01-22,"Basilicata",17,40.63947052,15.80514834,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2012-03",2012-01-16,2012-01-22,"Calabria",18,38.90597598,16.59440194,16,106,21005,"5.05",20,"8.99",41,"9.1",39,"3.56",6,"1.81"
"2012-03",2012-01-16,2012-01-22,"Sicily",19,38.11569725,13.3623567,49,305,65255,"4.67",25,"19.78",58,"18.31",189,"4.06",33,"2.31"
"2012-03",2012-01-16,2012-01-22,"Sardinia",20,39.21531192,9.110616306,7,89,6933,"12.84",54,"51.82",13,"5.6",15,"6.12",7,"6.24"
"2012-04",2012-01-23,2012-01-29,"Piedmont",1,45.0732745,7.680687483,41,541,53514,"10.11",76,"27.53",124,"22.03",290,"8.81",51,"4.17"
"2012-04",2012-01-23,2012-01-29,"Aosta Valley",2,45.73750286,7.320149366,7,58,8564,"6.77",16,"14.65",18,"12.89",20,"4.59",4,"2.32"
"2012-04",2012-01-23,2012-01-29,"Lombardy",3,45.46679409,9.190347404,144,1702,201626,"8.44",421,"25.83",491,"16.95",696,"6.05",94,"2.27"
"2012-04",2012-01-23,2012-01-29,"AP Bolzano",21,46.49933453,11.35662422,7,69,12129,"5.69",17,"28.19",15,"6.85",35,"4.84",2,"0.95"
"2012-04",2012-01-23,2012-01-29,"AP Trento",22,46.06893511,11.12123097,14,252,18382,"13.71",96,"67.18",75,"20.84",73,"7.21",8,"2.48"
"2012-04",2012-01-23,2012-01-29,"Veneto",5,45.43490485,12.33845213,77,921,100504,"9.16",264,"37.84",233,"17.52",376,"6.42",48,"2.21"
