"flu_season","Region","elderly_population","total_population"
"1999-2000","Abruzzo","42.5","11.4"
"1999-2000","Aosta Valley","35.8","9"
"1999-2000","AP Bolzano",NA,NA
"1999-2000","AP Trento","42.4","9.3"
"1999-2000","Apulia","38","8.7"
"1999-2000","Basilicata","45.6",NA
"1999-2000","Calabria","23.6","5.7"
"1999-2000","Campania","38.1","7.5"
"1999-2000","Emilia-Romagna","46.2","13.8"
"1999-2000","Friuli-Venezia Giulia","63.5","17.4"
"1999-2000","Lazio","26.7","5.3"
"1999-2000","Liguria","37.7","11.7"
"1999-2000","Lombardy","39.6","9.1"
"1999-2000","Marche","53.5","15"
"1999-2000","Molise","46.7","14.4"
"1999-2000","Piedmont","33.8","8.7"
"1999-2000","Sardinia","30","7.7"
"1999-2000","Sicily","41.4",NA
"1999-2000","Tuscany","36","10.2"
"1999-2000","Umbria","45.5","13.1"
"1999-2000","Veneto","47.3","11.3"
"2000-2001","Abruzzo","50.2","12.6"
"2000-2001","Aosta Valley","56.6","13.1"
"2000-2001","AP Bolzano","43.3","8.7"
"2000-2001","AP Trento","48.3","10.4"
"2000-2001","Apulia","49",NA
"2000-2001","Basilicata","42.3","14.3"
"2000-2001","Calabria","29.7","6.7"
"2000-2001","Campania","62.3","10.8"
"2000-2001","Emilia-Romagna","58.4","16.8"
"2000-2001","Friuli-Venezia Giulia","70","18.2"
"2000-2001","Lazio","46.5","10.1"
"2000-2001","Liguria","42.3","13"
"2000-2001","Lombardy","46.7","10.4"
"2000-2001","Marche","60.8","16.4"
"2000-2001","Molise","61.4","17.2"
"2000-2001","Piedmont","44.7","11.3"
"2000-2001","Sardinia","39.4","8.9"
"2000-2001","Sicily","47.8",NA
"2000-2001","Tuscany","51.9","14.6"
"2000-2001","Umbria","51.7","14.4"
"2000-2001","Veneto","60.7","12.1"
"2001-2002","Abruzzo","53.7","13.8"
"2001-2002","Aosta Valley","54.5","13.3"
"2001-2002","AP Bolzano","38.8","8.2"
"2001-2002","AP Trento","50.5","10.8"
"2001-2002","Apulia","62.9","13"
