"year","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2005-42",2005-10-17,2005-10-23,835,276,1070858,"0.26",67212,40,"0.6",138193,44,"0.32",658030,160,"0.24",207423,32,"0.15"
"2005-43",2005-10-24,2005-10-30,861,311,1110383,"0.28",66330,37,"0.56",137933,51,"0.37",689835,178,"0.26",216285,45,"0.21"
"2005-44",2005-10-31,2005-11-06,904,361,1166611,"0.31",69358,51,"0.74",145478,49,"0.34",723565,211,"0.29",228210,50,"0.22"
"2005-45",2005-11-07,2005-11-13,907,431,1170176,"0.37",69165,65,"0.94",144888,61,"0.42",725643,264,"0.36",230480,41,"0.18"
"2005-46",2005-11-14,2005-11-20,908,567,1169337,"0.48",70064,88,"1.26",146415,102,"0.7",722665,312,"0.43",230193,65,"0.28"
"2005-47",2005-11-21,2005-11-27,932,786,1205935,"0.65",70672,115,"1.63",148324,117,"0.79",749131,469,"0.63",237808,85,"0.36"
"2005-48",2005-11-28,2005-12-04,921,869,1193932,"0.73",69501,139,"2",146162,144,"0.99",741404,483,"0.65",236865,103,"0.43"
"2005-49",2005-12-05,2005-12-11,943,884,1219439,"0.72",72046,154,"2.14",151584,170,"1.12",755761,482,"0.64",240048,78,"0.32"
"2005-50",2005-12-12,2005-12-18,936,1102,1213338,"0.91",72520,167,"2.3",151726,198,"1.3",750130,612,"0.82",238962,125,"0.52"
"2005-51",2005-12-19,2005-12-25,921,1229,1198878,"1.03",68011,215,"3.16",147544,231,"1.57",745192,664,"0.89",238131,119,"0.5"
"2005-52",2005-12-26,2006-01-01,909,1398,1173595,"1.19",69340,236,"3.4",147165,239,"1.62",725513,744,"1.03",231577,179,"0.77"
"2006-01",2006-01-02,2006-01-08,922,1529,1195086,"1.28",69327,205,"2.96",146255,267,"1.83",742299,856,"1.15",237205,201,"0.85"
"2006-02",2006-01-09,2006-01-15,940,1892,1214098,"1.56",71149,192,"2.7",149717,261,"1.74",752891,1226,"1.63",240341,213,"0.89"
"2006-03",2006-01-16,2006-01-22,943,2230,1218285,"1.83",71856,302,"4.2",151320,388,"2.56",754275,1285,"1.7",240834,255,"1.06"
"2006-04",2006-01-23,2006-01-29,938,2489,1215707,"2.05",70849,420,"5.93",148100,472,"3.19",755386,1336,"1.77",241372,261,"1.08"
"2006-05",2006-01-30,2006-02-05,930,2773,1207067,"2.3",69348,494,"7.12",146849,647,"4.41",750884,1371,"1.83",239986,261,"1.09"
"2006-06",2006-02-06,2006-02-12,938,2970,1212493,"2.45",71060,552,"7.77",148682,651,"4.38",751861,1489,"1.98",240890,278,"1.15"
"2006-07",2006-02-13,2006-02-19,933,3029,1206890,"2.51",70062,503,"7.18",146976,661,"4.5",749582,1574,"2.1",240270,291,"1.21"
"2006-08",2006-02-20,2006-02-26,924,3091,1196278,"2.58",69993,562,"8.03",147074,791,"5.38",741953,1460,"1.97",237258,278,"1.17"
"2006-09",2006-02-27,2006-03-05,901,3029,1166752,"2.6",66864,570,"8.52",140731,724,"5.14",726081,1481,"2.04",233076,254,"1.09"
"2006-10",2006-03-06,2006-03-12,906,2951,1171636,"2.52",67141,492,"7.33",141876,872,"6.15",729308,1381,"1.89",233311,206,"0.88"
"2006-11",2006-03-13,2006-03-19,893,3102,1157701,"2.68",65772,532,"8.09",139601,983,"7.04",721479,1361,"1.89",230849,226,"0.98"
"2006-12",2006-03-20,2006-03-26,880,3089,1142725,"2.7",63766,529,"8.3",136794,1013,"7.41",712878,1333,"1.87",229287,214,"0.93"
"2006-13",2006-03-27,2006-04-02,855,2491,1108213,"2.25",62670,431,"6.88",134146,878,"6.55",689070,1021,"1.48",222327,161,"0.72"
"2006-14",2006-04-03,2006-04-09,820,1846,1063264,"1.74",60368,307,"5.09",130086,665,"5.11",661847,761,"1.15",210963,113,"0.54"
"2006-15",2006-04-10,2006-04-16,743,1104,967359,"1.14",52715,229,"4.34",113508,365,"3.22",607175,453,"0.75",193961,57,"0.29"
"2006-16",2006-04-17,2006-04-23,692,668,899141,"0.74",46944,129,"2.75",104071,205,"1.97",570036,271,"0.48",178090,63,"0.35"
"2006-17",2006-04-24,2006-04-30,598,382,791858,"0.48",39863,66,"1.66",89301,120,"1.34",502371,173,"0.34",160323,23,"0.14"
