"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2007-42",2007-10-15,2007-10-21,822,209,1075194,"0.19",64169,30,"0.47",129981,19,"0.15",666481,126,"0.19",214563,34,"0.16"
"2007-43",2007-10-22,2007-10-28,839,353,1112987,"0.32",65623,44,"0.67",133821,54,"0.4",691445,209,"0.3",222098,46,"0.21"
"2007-44",2007-10-29,2007-11-04,857,290,1133791,"0.26",66954,37,"0.55",136386,39,"0.29",704275,158,"0.22",226176,56,"0.25"
"2007-45",2007-11-05,2007-11-11,885,477,1172206,"0.41",69957,91,"1.3",142702,79,"0.55",726430,249,"0.34",233117,58,"0.25"
"2007-46",2007-11-12,2007-11-18,899,608,1191998,"0.51",69756,98,"1.4",142611,101,"0.71",740577,328,"0.44",239054,81,"0.34"
"2007-47",2007-11-19,2007-11-25,914,729,1197422,"0.61",71311,118,"1.65",143526,127,"0.88",743373,394,"0.53",239212,90,"0.38"
"2007-48",2007-11-26,2007-12-02,885,914,1157504,"0.79",71020,149,"2.1",143171,171,"1.19",714527,483,"0.68",228786,111,"0.49"
"2007-49",2007-12-03,2007-12-09,922,1079,1206693,"0.89",72786,165,"2.27",147324,195,"1.32",746894,598,"0.8",239689,121,"0.5"
"2007-50",2007-12-10,2007-12-16,916,1444,1198903,"1.2",71920,235,"3.27",145566,263,"1.81",742277,789,"1.06",239140,157,"0.66"
"2007-51",2007-12-17,2007-12-23,903,2224,1175626,"1.89",72095,334,"4.63",143142,508,"3.55",728036,1187,"1.63",232353,195,"0.84"
"2007-52",2007-12-24,2007-12-30,812,3126,1070366,"2.92",61951,364,"5.88",126398,603,"4.77",666387,1866,"2.8",215630,293,"1.36"
"2008-01",2007-12-31,2008-01-06,913,5468,1198250,"4.56",71783,548,"7.63",144485,830,"5.74",743483,3569,"4.8",238499,521,"2.18"
"2008-02",2008-01-07,2008-01-13,940,7390,1234887,"5.98",72184,853,"11.82",146368,1241,"8.48",769790,4627,"6.01",246545,669,"2.71"
"2008-03",2008-01-14,2008-01-20,936,8017,1225495,"6.54",74520,1473,"19.77",150663,1983,"13.16",758265,3960,"5.22",242047,601,"2.48"
"2008-04",2008-01-21,2008-01-27,914,8346,1200731,"6.95",71963,1596,"22.18",145479,2392,"16.44",746098,3799,"5.09",237191,559,"2.36"
"2008-05",2008-01-28,2008-02-03,917,8701,1206563,"7.21",71273,1643,"23.05",145168,2535,"17.46",751043,3925,"5.23",239079,598,"2.5"
"2008-06",2008-02-04,2008-02-10,909,8287,1192437,"6.95",69443,1566,"22.55",140989,2449,"17.37",744158,3664,"4.92",237847,608,"2.56"
"2008-07",2008-02-11,2008-02-17,905,7839,1185316,"6.61",71063,1350,"19",142156,2153,"15.15",737231,3736,"5.07",234866,600,"2.55"
"2008-08",2008-02-18,2008-02-24,895,7421,1174934,"6.32",69558,1184,"17.02",138936,2004,"14.42",732264,3664,"5",234176,569,"2.43"
"2008-09",2008-02-25,2008-03-02,887,6555,1165703,"5.62",68834,1084,"15.75",138103,1723,"12.48",727147,3223,"4.43",231619,525,"2.27"
"2008-10",2008-03-03,2008-03-09,872,4705,1140119,"4.13",67990,742,"10.91",135699,1224,"9.02",710849,2324,"3.27",225581,415,"1.84"
"2008-11",2008-03-10,2008-03-16,826,2978,1082848,"2.75",63184,459,"7.26",127397,733,"5.75",676092,1528,"2.26",216175,258,"1.19"
"2008-12",2008-03-17,2008-03-23,793,2009,1045931,"1.92",59443,286,"4.81",117970,459,"3.89",657930,1055,"1.6",210588,209,"0.99"
"2008-13",2008-03-24,2008-03-30,787,1390,1040374,"1.34",58424,192,"3.29",116630,262,"2.25",655639,779,"1.19",209681,157,"0.75"
"2008-14",2008-03-31,2008-04-06,759,966,999892,"0.97",57341,128,"2.23",113985,162,"1.42",628134,548,"0.87",200432,128,"0.64"
"2008-15",2008-04-07,2008-04-13,711,644,941501,"0.68",52677,81,"1.54",105108,101,"0.96",593877,377,"0.63",189839,85,"0.45"
"2008-16",2008-04-14,2008-04-20,622,394,827900,"0.48",44056,59,"1.34",89412,49,"0.55",526642,239,"0.45",167790,47,"0.28"
"2008-17",2008-04-21,2008-04-27,433,176,568094,"0.31",30898,27,"0.87",63080,23,"0.36",358056,110,"0.31",116060,16,"0.14"
