"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2012-46",2012-11-12,2012-11-18,"FLU A",1,2
"2012-46",2012-11-12,2012-11-18,"A",1,0
"2012-46",2012-11-12,2012-11-18,"A(H3N2)",1,1
"2012-46",2012-11-12,2012-11-18,"A(H1N1) pdm09",1,1
"2012-46",2012-11-12,2012-11-18,"FLU B",1,0
"2012-47",2012-11-19,2012-11-25,"FLU A",52,1
"2012-47",2012-11-19,2012-11-25,"A",52,0
"2012-47",2012-11-19,2012-11-25,"A(H3N2)",52,0
"2012-47",2012-11-19,2012-11-25,"A(H1N1) pdm09",52,1
"2012-47",2012-11-19,2012-11-25,"FLU B",52,0
"2012-48",2012-11-26,2012-12-02,"FLU A",0,2
"2012-48",2012-12-03,2012-12-09,"A",0,0
"2012-48",2012-12-03,2012-12-09,"A(H3N2)",0,2
"2012-48",2012-12-03,2012-12-09,"A(H1N1) pdm09",0,0
"2012-48",2012-12-03,2012-12-09,"FLU B",0,4
"2012-49",2012-12-10,2012-12-16,"FLU A",55,0
"2012-49",2012-12-10,2012-12-16,"A",55,0
"2012-49",2012-12-10,2012-12-16,"A(H3N2)",55,0
"2012-49",2012-12-10,2012-12-16,"A(H1N1) pdm09",55,0
"2012-49",2012-12-10,2012-12-16,"FLU B",55,1
"2012-50",2012-12-17,2012-12-23,"FLU A",70,3
"2012-50",2012-12-17,2012-12-23,"A",70,1
"2012-50",2012-12-17,2012-12-23,"A(H3N2)",70,1
"2012-50",2012-12-17,2012-12-23,"A(H1N1) pdm09",70,1
"2012-50",2012-12-17,2012-12-23,"FLU B",70,10
"2012-51",2012-12-24,2012-12-30,"FLU A",68,1
"2012-51",2012-12-24,2012-12-30,"A",68,0
"2012-51",2012-12-24,2012-12-30,"A(H3N2)",68,1
"2012-51",2012-12-24,2012-12-30,"A(H1N1) pdm09",68,0
"2012-51",2012-12-24,2012-12-30,"FLU B",68,10
"2012-52",2012-12-31,2013-01-06,"FLU A",20,2
"2012-52",2012-12-31,2013-01-06,"A",20,0
"2012-52",2012-12-31,2013-01-06,"A(H3N2)",20,1
"2012-52",2012-12-31,2013-01-06,"A(H1N1) pdm09",20,1
"2012-52",2012-12-31,2013-01-06,"FLU B",20,10
"2013-01",2013-01-07,2013-01-13,"FLU A",57,18
"2013-01",2013-01-07,2013-01-13,"A",57,1
"2013-01",2013-01-07,2013-01-13,"A(H3N2)",57,6
"2013-01",2013-01-07,2013-01-13,"A(H1N1) pdm09",57,11
"2013-01",2013-01-07,2013-01-13,"FLU B",57,23
"2013-02",2013-01-14,2013-01-20,"FLU A",195,31
"2013-02",2013-01-14,2013-01-20,"A",195,2
"2013-02",2013-01-14,2013-01-20,"A(H3N2)",195,4
"2013-02",2013-01-14,2013-01-20,"A(H1N1) pdm09",195,25
"2013-02",2013-01-14,2013-01-20,"FLU B",195,28
"2013-03",2013-01-21,2013-01-27,"FLU A",267,41
"2013-03",2013-01-21,2013-01-27,"A",267,3
"2013-03",2013-01-21,2013-01-27,"A(H3N2)",267,3
"2013-03",2013-01-21,2013-01-27,"A(H1N1) pdm09",267,35
"2013-03",2013-01-21,2013-01-27,"FLU B",267,55
"2013-04",2013-01-28,2013-02-03,"FLU A",297,43
"2013-04",2013-01-28,2013-02-03,"A",297,2
"2013-04",2013-01-28,2013-02-03,"A(H3N2)",297,7
"2013-04",2013-01-28,2013-02-03,"A(H1N1) pdm09",297,34
"2013-04",2013-01-28,2013-02-03,"FLU B",297,91
"2013-05",2013-02-04,2013-02-10,"FLU A",374,82
"2013-05",2013-02-04,2013-02-10,"A",374,5
"2013-05",2013-02-04,2013-02-10,"A(H3N2)",374,10
"2013-05",2013-02-04,2013-02-10,"A(H1N1) pdm09",374,67
"2013-05",2013-02-04,2013-02-10,"FLU B",374,145
"2013-06",2013-02-11,2013-02-17,"FLU A",379,92
"2013-06",2013-02-11,2013-02-17,"A",379,6
"2013-06",2013-02-11,2013-02-17,"A(H3N2)",379,8
"2013-06",2013-02-11,2013-02-17,"A(H1N1) pdm09",379,78
"2013-06",2013-02-11,2013-02-17,"FLU B",379,163
"2013-07",2013-02-18,2013-02-24,"FLU A",467,105
"2013-07",2013-02-18,2013-02-24,"A",467,0
"2013-07",2013-02-18,2013-02-24,"A(H3N2)",467,5
"2013-07",2013-02-18,2013-02-24,"A(H1N1) pdm09",467,100
"2013-07",2013-02-18,2013-02-24,"FLU B",467,155
"2013-08",2013-02-25,2013-03-03,"FLU A",380,83
"2013-08",2013-02-25,2013-03-03,"A",380,6
"2013-08",2013-02-25,2013-03-03,"A(H3N2)",380,9
"2013-08",2013-02-25,2013-03-03,"A(H1N1) pdm09",380,68
"2013-08",2013-02-25,2013-03-03,"FLU B",380,189
"2013-09",2013-03-04,2013-03-10,"FLU A",351,121
"2013-09",2013-03-04,2013-03-10,"A",351,10
"2013-09",2013-03-04,2013-03-10,"A(H3N2)",351,11
"2013-09",2013-03-04,2013-03-10,"A(H1N1) pdm09",351,100
"2013-09",2013-03-04,2013-03-10,"FLU B",351,125
"2013-10",2013-03-11,2013-03-17,"FLU A",304,107
"2013-10",2013-03-11,2013-03-17,"A",304,9
"2013-10",2013-03-11,2013-03-17,"A(H3N2)",304,20
"2013-10",2013-03-11,2013-03-17,"A(H1N1) pdm09",304,78
"2013-10",2013-03-11,2013-03-17,"FLU B",304,85
"2013-11",2013-03-18,2013-03-24,"FLU A",273,66
"2013-11",2013-03-18,2013-03-24,"A",273,7
"2013-11",2013-03-18,2013-03-24,"A(H3N2)",273,11
"2013-11",2013-03-18,2013-03-24,"A(H1N1) pdm09",273,48
"2013-11",2013-03-18,2013-03-24,"FLU B",273,55
"2013-12",2013-03-25,2013-03-31,"FLU A",257,45
"2013-12",2013-03-25,2013-03-31,"A",257,0
"2013-12",2013-03-25,2013-03-31,"A(H3N2)",257,7
"2013-12",2013-03-25,2013-03-31,"A(H1N1) pdm09",257,38
"2013-12",2013-03-25,2013-03-31,"FLU B",257,46
"2013-13",2013-04-01,2013-04-07,"FLU A",104,35
"2013-13",2013-04-01,2013-04-07,"A",104,8
"2013-13",2013-04-01,2013-04-07,"A(H3N2)",104,6
"2013-13",2013-04-01,2013-04-07,"A(H1N1) pdm09",104,21
"2013-13",2013-04-01,2013-04-07,"FLU B",104,21
"2013-14",2013-04-08,2013-04-14,"FLU A",94,10
"2013-14",2013-04-08,2013-04-14,"A",94,2
"2013-14",2013-04-08,2013-04-14,"A(H3N2)",94,2
"2013-14",2013-04-08,2013-04-14,"A(H1N1) pdm09",94,6
"2013-14",2013-04-08,2013-04-14,"FLU B",94,9
"2013-15",2013-04-15,2013-04-21,"FLU A",90,4
"2013-15",2013-04-15,2013-04-21,"A",90,1
"2013-15",2013-04-15,2013-04-21,"A(H3N2)",90,1
"2013-15",2013-04-15,2013-04-21,"A(H1N1) pdm09",90,2
"2013-15",2013-04-15,2013-04-21,"FLU B",90,0
"2013-16",2013-04-22,2013-04-28,"FLU A",53,2
"2013-16",2013-04-22,2013-04-28,"A",53,1
"2013-16",2013-04-22,2013-04-28,"A(H3N2)",53,0
"2013-16",2013-04-22,2013-04-28,"A(H1N1) pdm09",53,1
"2013-16",2013-04-22,2013-04-28,"FLU B",53,1
"2013-17",2013-04-29,2013-05-05,"FLU A",70,1
"2013-17",2013-04-29,2013-05-05,"A",70,1
"2013-17",2013-04-29,2013-05-05,"A(H3N2)",70,0
"2013-17",2013-04-29,2013-05-05,"A(H1N1) pdm09",70,0
"2013-17",2013-04-29,2013-05-05,"FLU B",70,0
