"year","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2013-46",2013-11-11,2013-11-17,"FLU A",133,0
"2013-46",2013-11-11,2013-11-17,"A",133,0
"2013-46",2013-11-11,2013-11-17,"A(H3N2)",133,0
"2013-46",2013-11-11,2013-11-17,"A(H1N1) pdm09",133,0
"2013-46",2013-11-11,2013-11-17,"FLU B",133,0
"2013-47",2013-11-18,2013-11-24,"FLU A",64,0
"2013-47",2013-11-18,2013-11-24,"A",64,0
"2013-47",2013-11-18,2013-11-24,"A(H3N2)",64,0
"2013-47",2013-11-18,2013-11-24,"A(H1N1) pdm09",64,0
"2013-47",2013-11-18,2013-11-24,"FLU B",64,0
"2013-48",2013-11-25,2013-12-01,"FLU A",24,2
"2013-48",2013-11-25,2013-12-01,"A",24,0
"2013-48",2013-11-25,2013-12-01,"A(H3N2)",24,2
"2013-48",2013-11-25,2013-12-01,"A(H1N1) pdm09",24,0
"2013-48",2013-11-25,2013-12-01,"FLU B",24,0
"2013-49",2013-12-02,2013-12-08,"FLU A",65,6
"2013-49",2013-12-02,2013-12-08,"A",65,0
"2013-49",2013-12-02,2013-12-08,"A(H3N2)",65,6
"2013-49",2013-12-02,2013-12-08,"A(H1N1) pdm09",65,0
"2013-49",2013-12-02,2013-12-08,"FLU B",65,0
"2013-50",2013-12-09,2013-12-15,"FLU A",65,9
"2013-50",2013-12-09,2013-12-15,"A",65,0
"2013-50",2013-12-09,2013-12-15,"A(H3N2)",65,9
"2013-50",2013-12-09,2013-12-15,"A(H1N1) pdm09",65,0
"2013-50",2013-12-09,2013-12-15,"FLU B",65,0
"2013-51",2013-12-16,2013-12-22,"FLU A",87,10
"2013-51",2013-12-16,2013-12-22,"A",87,0
"2013-51",2013-12-16,2013-12-22,"A(H3N2)",87,8
"2013-51",2013-12-16,2013-12-22,"A(H1N1) pdm09",87,2
"2013-51",2013-12-16,2013-12-22,"FLU B",87,0
"2013-52",2013-12-23,2013-12-29,"FLU A",51,10
"2013-52",2013-12-23,2013-12-29,"A",51,0
"2013-52",2013-12-23,2013-12-29,"A(H3N2)",51,10
"2013-52",2013-12-23,2013-12-29,"A(H1N1) pdm09",51,0
"2013-52",2013-12-23,2013-12-29,"FLU B",51,1
"2014-01",2013-12-30,2014-01-05,"FLU A",51,20
"2014-01",2013-12-30,2014-01-05,"A",80,1
"2014-01",2013-12-30,2014-01-05,"A(H3N2)",80,16
"2014-01",2013-12-30,2014-01-05,"A(H1N1) pdm09",80,3
"2014-01",2013-12-30,2014-01-05,"FLU B",80,0
"2014-02",2014-01-06,2014-01-12,"FLU A",169,34
"2014-02",2014-01-06,2014-01-12,"A",169,1
"2014-02",2014-01-06,2014-01-12,"A(H3N2)",169,21
"2014-02",2014-01-06,2014-01-12,"A(H1N1) pdm09",169,12
"2014-02",2014-01-06,2014-01-12,"FLU B",169,1
"2014-03",2014-01-13,2014-01-19,"FLU A",0,63
"2014-03",2014-01-13,2014-01-19,"A",0,6
"2014-03",2014-01-13,2014-01-19,"A(H3N2)",0,42
"2014-03",2014-01-13,2014-01-19,"A(H1N1) pdm09",0,15
"2014-03",2014-01-13,2014-01-19,"FLU B",0,3
"2014-04",2014-01-20,2014-01-26,"FLU A",211,68
"2014-04",2014-01-20,2014-01-26,"A",211,3
"2014-04",2014-01-20,2014-01-26,"A(H3N2)",211,41
"2014-04",2014-01-20,2014-01-26,"A(H1N1) pdm09",211,24
"2014-04",2014-01-20,2014-01-26,"FLU B",211,3
"2014-05",2014-01-27,2014-02-02,"FLU A",227,95
"2014-05",2014-01-27,2014-02-02,"A",227,5
"2014-05",2014-01-27,2014-02-02,"A(H3N2)",227,62
"2014-05",2014-01-27,2014-02-02,"A(H1N1) pdm09",227,28
"2014-05",2014-01-27,2014-02-02,"FLU B",227,1
"2014-06",2014-02-03,2014-02-09,"FLU A",296,143
