"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2014-45",2014-11-03,2014-11-09,"Piedmont",1,45.0732745,7.680687483,26,67,36014,"1.86",3,"2.39",4,"1.27",48,"2.19",12,"1.23"
"2014-45",2014-11-03,2014-11-09,"Aosta Valley",2,45.73750286,7.320149366,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2014-45",2014-11-03,2014-11-09,"Lombardy",3,45.46679409,9.190347404,135,156,192107,"0.81",32,"2.28",26,"1",82,"2.09",16,"0.4"
"2014-45",2014-11-03,2014-11-09,"AP Bolzano",21,46.49933453,11.35662422,7,4,11331,"0.35",0,"0",0,"0",3,"0.4",1,"0.39"
"2014-45",2014-11-03,2014-11-09,"AP Trento",22,46.06893511,11.12123097,8,22,10692,"2.06",11,"9.36",7,"3.45",4,"0.74",0,"0"
"2014-45",2014-11-03,2014-11-09,"Veneto",5,45.43490485,12.33845213,72,33,93059,"0.35",4,"0.64",4,"0.31",23,"0.44",2,"0.1"
"2014-45",2014-11-03,2014-11-09,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,13,12,17955,"0.67",0,"0",2,"1.37",6,"1.77",4,"0.84"
"2014-45",2014-11-03,2014-11-09,"Liguria",7,44.41149315,8.9326992,37,24,44731,"0.54",5,"3.03",2,"0.59",12,"1.51",5,"0.38"
"2014-45",2014-11-03,2014-11-09,"Emilia Romagna",8,44.49436681,11.3417208,28,21,38541,"0.54",0,"0",1,"0.26",17,"0.72",3,"0.3"
"2014-45",2014-11-03,2014-11-09,"Tuscany",9,43.76923077,11.25588885,51,23,66864,"0.34",2,"0.65",2,"0.36",16,"1.2",3,"0.17"
"2014-45",2014-11-03,2014-11-09,"Umbria",10,43.10675841,12.38824698,11,5,13672,"0.37",4,"3.21",1,"0.4",0,"0",0,"0"
"2014-45",2014-11-03,2014-11-09,"Marche",11,43.61675973,13.5188753,4,1,4777,"0.21",0,"0",0,"0",1,"0.39",0,"0"
"2014-45",2014-11-03,2014-11-09,"Lazio",12,41.89277044,12.48366722,74,87,95733,"0.91",1,"0.22",11,"1.11",68,"1.12",7,"0.34"
"2014-45",2014-11-03,2014-11-09,"Abruzzo",13,42.35122196,13.39843823,23,19,23843,"0.8",4,"1.37",2,"0.34",10,"2.19",3,"0.73"
"2014-45",2014-11-03,2014-11-09,"Molise",14,41.55774754,14.65916051,13,5,15827,"0.32",0,"0",0,"0",3,"0.33",2,"0.62"
"2014-45",2014-11-03,2014-11-09,"Campania",15,40.83956555,14.25084984,17,27,19468,"1.39",12,"5.73",7,"1.57",7,"0.7",1,"0.35"
"2014-45",2014-11-03,2014-11-09,"Apulia",16,41.12559576,16.86736689,104,52,133966,"0.39",12,"1.75",7,"0.51",29,"1.03",4,"0.15"
"2014-45",2014-11-03,2014-11-09,"Basilicata",17,40.63947052,15.80514834,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2014-45",2014-11-03,2014-11-09,"Calabria",18,38.90597598,16.59440194,4,1,5782,"0.17",0,"0",0,"0",1,"0.73",0,"0"
"2014-45",2014-11-03,2014-11-09,"Sicily",19,38.11569725,13.3623567,64,58,86654,"0.67",0,"0",1,"0.23",42,"2.26",15,"0.64"
"2014-45",2014-11-03,2014-11-09,"Sardinia",20,39.21531192,9.110616306,6,4,6564,"0.61",0,"0",0,"0",4,"1.15",0,"0"
"2014-46",2014-11-10,2014-11-16,"Piedmont",1,45.0732745,7.680687483,30,141,41511,"3.4",23,"11.68",31,"7.05",75,"3.09",12,"1.1"
"2014-46",2014-11-10,2014-11-16,"Aosta Valley",2,45.73750286,7.320149366,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2014-46",2014-11-10,2014-11-16,"Lombardy",3,45.46679409,9.190347404,134,180,195799,"0.92",34,"2.55",30,"1.18",103,"2.62",13,"0.29"
"2014-46",2014-11-10,2014-11-16,"AP Bolzano",21,46.49933453,11.35662422,8,3,13395,"0.22",0,"0",0,"0",3,"0.34",0,"0"
"2014-46",2014-11-10,2014-11-16,"AP Trento",22,46.06893511,11.12123097,9,33,11285,"2.92",20,"14.07",11,"4.17",2,"0.39",0,"0"
"2014-46",2014-11-10,2014-11-16,"Veneto",5,45.43490485,12.33845213,83,50,107277,"0.47",13,"1.94",7,"0.51",29,"0.46",1,"0.04"
"2014-46",2014-11-10,2014-11-16,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,14,7,19256,"0.36",0,"0",0,"0",6,"1.69",1,"0.21"
"2014-46",2014-11-10,2014-11-16,"Liguria",7,44.41149315,8.9326992,38,16,46189,"0.35",2,"0.99",0,"0",12,"1.67",2,"0.15"
"2014-46",2014-11-10,2014-11-16,"Emilia Romagna",8,44.49436681,11.3417208,29,26,37663,"0.69",0,"0",3,"0.43",23,"1.17",0,"0"
"2014-46",2014-11-10,2014-11-16,"Tuscany",9,43.76923077,11.25588885,48,36,62950,"0.57",1,"0.36",8,"1.35",24,"1.73",3,"0.18"
"2014-46",2014-11-10,2014-11-16,"Umbria",10,43.10675841,12.38824698,8,7,9473,"0.74",5,"4.01",2,"0.83",0,"0",0,"0"
"2014-46",2014-11-10,2014-11-16,"Marche",11,43.61675973,13.5188753,6,0,6654,"0",0,"0",0,"0",0,"0",0,"0"
"2014-46",2014-11-10,2014-11-16,"Lazio",12,41.89277044,12.48366722,73,67,93622,"0.72",1,"0.23",3,"0.3",55,"0.93",8,"0.39"
"2014-46",2014-11-10,2014-11-16,"Abruzzo",13,42.35122196,13.39843823,23,18,23372,"0.77",9,"2.88",1,"0.16",8,"1.95",0,"0"
"2014-46",2014-11-10,2014-11-16,"Molise",14,41.55774754,14.65916051,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2014-46",2014-11-10,2014-11-16,"Campania",15,40.83956555,14.25084984,32,94,40342,"2.33",15,"4.16",13,"1.87",55,"2.34",11,"1.73"
"2014-46",2014-11-10,2014-11-16,"Apulia",16,41.12559576,16.86736689,104,41,134613,"0.3",10,"1.27",7,"0.48",19,"0.61",5,"0.19"
"2014-46",2014-11-10,2014-11-16,"Basilicata",17,40.63947052,15.80514834,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2014-46",2014-11-10,2014-11-16,"Calabria",18,38.90597598,16.59440194,3,3,4019,"0.75",0,"0",0,"0",3,"2.7",0,"0"
"2014-46",2014-11-10,2014-11-16,"Sicily",19,38.11569725,13.3623567,50,61,67888,"0.9",0,"0",5,"1.39",47,"3.13",9,"0.46"
