"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.5"
"Aosta Valley","6-23m","0.5"
"Lombardy","6-23m","0.6"
"AP Bolzano","6-23m","0.7"
"AP Trento","6-23m","2"
"Veneto","6-23m","1.2"
"Friuli-Venezia Giulia","6-23m","0.3"
"Liguria","6-23m","0.9"
"Emilia-Romagna","6-23m","1.3"
"Tuscany","6-23m","5.2"
"Umbria","6-23m","0.3"
"Marche","6-23m","0.9"
"Lazio","6-23m","0.5"
"Abruzzo","6-23m","0.6"
"Molise","6-23m","0.8"
"Campania","6-23m","2.4"
"Apulia","6-23m","4"
"Basilicata","6-23m","0.2"
"Calabria","6-23m","0.6"
"Sicily","6-23m","1.3"
"Sardinia","6-23m","1.1"
"Italy","6-23m","1.5"
"Piedmont","2-4y","0.6"
"Aosta Valley","2-4y","0.9"
"Lombardy","2-4y","1.1"
"AP Bolzano","2-4y","0.8"
"AP Trento","2-4y","2.2"
"Veneto","2-4y","2"
"Friuli-Venezia Giulia","2-4y","0.7"
"Liguria","2-4y","1.8"
"Emilia-Romagna","2-4y","1.9"
"Tuscany","2-4y","7.9"
"Umbria","2-4y","0.4"
"Marche","2-4y","1.3"
"Lazio","2-4y","1.2"
"Abruzzo","2-4y","1.6"
"Molise","2-4y","0.4"
"Campania","2-4y","3.9"
"Apulia","2-4y","10.3"
"Basilicata","2-4y","0.7"
"Calabria","2-4y","1.4"
"Sicily","2-4y","1.5"
"Sardinia","2-4y","2"
"Italy","2-4y","2.6"
"Piedmont","5_8","0.7"
"Aosta Valley","5_8","0.5"
"Lombardy","5_8","1.1"
"AP Bolzano","5_8","0.8"
"AP Trento","5_8","1.8"
"Veneto","5_8","1.7"
"Friuli-Venezia Giulia","5_8","0.8"
"Liguria","5_8","1.3"
"Emilia-Romagna","5_8","1.8"
"Tuscany","5_8","6"
"Umbria","5_8","0.4"
"Marche","5_8","1.2"
"Lazio","5_8","1.2"
"Abruzzo","5_8","1.4"
"Molise","5_8","0.6"
"Campania","5_8","3.9"
"Apulia","5_8","9.1"
"Basilicata","5_8","1.9"
"Calabria","5_8","1.7"
"Sicily","5_8","1.7"
"Sardinia","5_8","3.6"
"Italy","5_8","2.4"
"Piedmont","9_14","0.8"
"Aosta Valley","9_14","0.5"
"Lombardy","9_14","0.8"
"AP Bolzano","9_14","0.6"
"AP Trento","9_14","1.5"
"Veneto","9_14","1.3"
"Friuli-Venezia Giulia","9_14","0.9"
"Liguria","9_14","1.1"
"Emilia-Romagna","9_14","1.7"
"Tuscany","9_14","3.5"
"Umbria","9_14","0.5"
"Marche","9_14","1.1"
"Lazio","9_14","1.2"
"Abruzzo","9_14","0.9"
"Molise","9_14","0.5"
"Campania","9_14","2.8"
"Apulia","9_14","5.9"
"Basilicata","9_14","1.2"
"Calabria","9_14","1.3"
"Sicily","9_14","1.3"
"Sardinia","9_14","1.4"
"Italy","9_14","1.8"
"Piedmont","15_17","0.8"
"Aosta Valley","15_17","0.5"
"Lombardy","15_17","0.8"
"AP Bolzano","15_17","0.5"
"AP Trento","15_17","1.1"
"Veneto","15_17","1.3"
"Friuli-Venezia Giulia","15_17","1.3"
"Liguria","15_17","1.5"
"Emilia-Romagna","15_17","1.6"
