"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2016-46",2016-11-14,2016-11-20,"FLU A",184,12
"2016-46",2016-11-14,2016-11-20,"A",184,0
"2016-46",2016-11-14,2016-11-20,"A(H3N2)",184,12
"2016-46",2016-11-14,2016-11-20,"A(H1N1) pdm09",184,0
"2016-46",2016-11-14,2016-11-20,"FLU B",184,0
"2016-47",2016-11-21,2016-11-27,"FLU A",182,22
"2016-47",2016-11-21,2016-11-27,"A",182,0
"2016-47",2016-11-21,2016-11-27,"A(H3N2)",182,21
"2016-47",2016-11-21,2016-11-27,"A(H1N1) pdm09",182,1
"2016-47",2016-11-21,2016-11-27,"FLU B",182,2
"2016-48",2016-11-28,2016-12-04,"FLU A",233,51
"2016-48",2016-11-28,2016-12-04,"A",233,0
"2016-48",2016-11-28,2016-12-04,"A(H3N2)",233,51
"2016-48",2016-11-28,2016-12-04,"A(H1N1) pdm09",233,0
"2016-48",2016-11-28,2016-12-04,"FLU B",233,0
"2016-49",2016-12-05,2016-12-11,"FLU A",199,82
"2016-49",2016-12-05,2016-12-11,"A",199,1
"2016-49",2016-12-05,2016-12-11,"A(H3N2)",199,78
"2016-49",2016-12-05,2016-12-11,"A(H1N1) pdm09",199,3
"2016-49",2016-12-05,2016-12-11,"FLU B",199,0
"2016-50",2016-12-12,2016-12-18,"FLU A",410,156
"2016-50",2016-12-12,2016-12-18,"A",410,6
"2016-50",2016-12-12,2016-12-18,"A(H3N2)",410,150
"2016-50",2016-12-12,2016-12-18,"A(H1N1) pdm09",410,0
"2016-50",2016-12-12,2016-12-18,"FLU B",410,1
"2016-51",2016-12-19,2016-12-25,"FLU A",521,273
"2016-51",2016-12-19,2016-12-25,"A",521,18
"2016-51",2016-12-19,2016-12-25,"A(H3N2)",521,247
"2016-51",2016-12-19,2016-12-25,"A(H1N1) pdm09",521,8
"2016-51",2016-12-19,2016-12-25,"FLU B",521,0
"2016-52",2016-12-26,2017-01-01,"FLU A",568,363
"2016-52",2016-12-26,2017-01-01,"A",568,21
"2016-52",2016-12-26,2017-01-01,"A(H3N2)",568,337
"2016-52",2016-12-26,2017-01-01,"A(H1N1) pdm09",568,5
"2016-52",2016-12-26,2017-01-01,"FLU B",568,0
"2017-01",2017-01-02,2017-01-08,"FLU A",648,409
"2017-01",2017-01-02,2017-01-08,"A",648,17
"2017-01",2017-01-02,2017-01-08,"A(H3N2)",648,389
"2017-01",2017-01-02,2017-01-08,"A(H1N1) pdm09",648,3
"2017-01",2017-01-02,2017-01-08,"FLU B",648,2
"2017-02",2017-01-09,2017-01-15,"FLU A",834,443
"2017-02",2017-01-09,2017-01-15,"A",834,27
"2017-02",2017-01-09,2017-01-15,"A(H3N2)",834,411
"2017-02",2017-01-09,2017-01-15,"A(H1N1) pdm09",834,5
"2017-02",2017-01-09,2017-01-15,"FLU B",834,9
"2017-03",2017-01-16,2017-01-22,"FLU A",810,439
"2017-03",2017-01-16,2017-01-22,"A",810,24
"2017-03",2017-01-16,2017-01-22,"A(H3N2)",810,407
"2017-03",2017-01-16,2017-01-22,"A(H1N1) pdm09",810,8
"2017-03",2017-01-16,2017-01-22,"FLU B",810,3
"2017-04",2017-01-23,2017-01-29,"FLU A",848,383
"2017-04",2017-01-23,2017-01-29,"A",848,27
"2017-04",2017-01-23,2017-01-29,"A(H3N2)",848,355
"2017-04",2017-01-23,2017-01-29,"A(H1N1) pdm09",848,1
"2017-04",2017-01-23,2017-01-29,"FLU B",848,10
"2017-05",2017-01-30,2017-02-05,"FLU A",638,332
"2017-05",2017-01-30,2017-02-05,"A",638,32
"2017-05",2017-01-30,2017-02-05,"A(H3N2)",638,299
"2017-05",2017-01-30,2017-02-05,"A(H1N1) pdm09",638,1
"2017-05",2017-01-30,2017-02-05,"FLU B",638,13
"2017-06",2017-02-06,2017-02-12,"FLU A",615,176
"2017-06",2017-02-06,2017-02-12,"A",615,5
"2017-06",2017-02-06,2017-02-12,"A(H3N2)",615,169
"2017-06",2017-02-06,2017-02-12,"A(H1N1) pdm09",615,2
"2017-06",2017-02-06,2017-02-12,"FLU B",615,14
"2017-07",2017-02-13,2017-02-19,"FLU A",486,98
"2017-07",2017-02-13,2017-02-19,"A",486,1
"2017-07",2017-02-13,2017-02-19,"A(H3N2)",486,93
"2017-07",2017-02-13,2017-02-19,"A(H1N1) pdm09",486,4
"2017-07",2017-02-13,2017-02-19,"FLU B",486,27
"2017-08",2017-02-20,2017-02-26,"FLU A",506,52
"2017-08",2017-02-20,2017-02-26,"A",506,2
"2017-08",2017-02-20,2017-02-26,"A(H3N2)",506,50
"2017-08",2017-02-20,2017-02-26,"A(H1N1) pdm09",506,0
"2017-08",2017-02-20,2017-02-26,"FLU B",506,18
"2017-09",2017-02-27,2017-03-05,"FLU A",343,18
"2017-09",2017-02-27,2017-03-05,"A",343,4
"2017-09",2017-02-27,2017-03-05,"A(H3N2)",343,13
"2017-09",2017-02-27,2017-03-05,"A(H1N1) pdm09",343,1
"2017-09",2017-02-27,2017-03-05,"FLU B",343,24
"2017-10",2017-03-06,2017-03-12,"FLU A",392,15
"2017-10",2017-03-06,2017-03-12,"A",392,3
"2017-10",2017-03-06,2017-03-12,"A(H3N2)",392,11
"2017-10",2017-03-06,2017-03-12,"A(H1N1) pdm09",392,1
"2017-10",2017-03-06,2017-03-12,"FLU B",392,18
"2017-11",2017-03-13,2017-03-19,"FLU A",309,7
"2017-11",2017-03-13,2017-03-19,"A",309,0
"2017-11",2017-03-13,2017-03-19,"A(H3N2)",309,7
"2017-11",2017-03-13,2017-03-19,"A(H1N1) pdm09",309,0
"2017-11",2017-03-13,2017-03-19,"FLU B",309,14
"2017-12",2017-03-20,2017-03-26,"FLU A",250,4
"2017-12",2017-03-20,2017-03-26,"A",250,0
"2017-12",2017-03-20,2017-03-26,"A(H3N2)",250,4
"2017-12",2017-03-20,2017-03-26,"A(H1N1) pdm09",250,0
"2017-12",2017-03-20,2017-03-26,"FLU B",250,5
"2017-13",2017-03-27,2017-04-02,"FLU A",200,2
"2017-13",2017-03-27,2017-04-02,"A",200,0
"2017-13",2017-03-27,2017-04-02,"A(H3N2)",200,2
"2017-13",2017-03-27,2017-04-02,"A(H1N1) pdm09",200,0
"2017-13",2017-03-27,2017-04-02,"FLU B",200,7
"2017-14",2017-04-03,2017-04-09,"FLU A",184,1
"2017-14",2017-04-03,2017-04-09,"A",184,0
"2017-14",2017-04-03,2017-04-09,"A(H3N2)",184,1
"2017-14",2017-04-03,2017-04-09,"A(H1N1) pdm09",184,0
"2017-14",2017-04-03,2017-04-09,"FLU B",184,5
"2017-15",2017-04-10,2017-04-16,"FLU A",113,0
"2017-15",2017-04-10,2017-04-16,"A",113,0
"2017-15",2017-04-10,2017-04-16,"A(H3N2)",113,0
"2017-15",2017-04-10,2017-04-16,"A(H1N1) pdm09",113,0
"2017-15",2017-04-10,2017-04-16,"FLU B",113,4
"2017-16",2017-04-17,2017-04-23,"FLU A",123,1
