"Region","Age","Vaccine doses","Vaccination coverage"
"Piedmont","6-23m",1091,"2"
"Aosta Valley","6-23m",104,"6.5"
"Lombardy","6-23m",7588,"5.3"
"AP Bolzano","6-23m",111,"1.1"
"AP Trento","6-23m",2392,"28.7"
"Veneto","6-23m",6763,"10.2"
"Friuli-Venezia Giulia","6-23m",2380,"15.9"
"Liguria","6-23m",2635,"15.1"
"Emilia-Romagna","6-23m",1575,"2.6"
"Tuscany","6-23m",7515,"16.4"
"Umbria","6-23m",791,"7.3"
"Marche","6-23m",1765,"9.2"
"Lazio","6-23m",12411,"16.2"
"Abruzzo","6-23m",730,"4.4"
"Molise","6-23m",232,"6.5"
"Campania","6-23m",12624,"13.9"
"Apulia","6-23m",6478,"12.1"
"Basilicata","6-23m",254,"3.6"
"Calabria","6-23m",1266,"4.5"
"Sicily","6-23m",5373,"7.2"
"Sardinia","6-23m",1059,"6.2"
"Italy","6-23m",75137,"9.2"
"Piedmont","2-4y",3454,"3.8"
"Aosta Valley","2-4y",387,"14.2"
"Lombardy","2-4y",52669,"22.1"
"AP Bolzano","2-4y",329,"2"
"AP Trento","2-4y",4405,"31.9"
"Veneto","2-4y",17816,"16.1"
"Friuli-Venezia Giulia","2-4y",6270,"25.3"
"Liguria","2-4y",15593,"54.4"
"Emilia-Romagna","2-4y",6613,"6.5"
"Tuscany","2-4y",21755,"27.9"
"Umbria","2-4y",2079,"11.5"
"Marche","2-4y",7437,"23"
"Lazio","2-4y",35303,"26.5"
"Abruzzo","2-4y",2480,"8.8"
"Molise","2-4y",1120,"18.9"
"Campania","2-4y",31144,"21.4"
"Apulia","2-4y",26824,"30.3"
"Basilicata","2-4y",2055,"17.9"
"Calabria","2-4y",8304,"18.2"
"Sicily","2-4y",10589,"8.8"
"Sardinia","2-4y",2615,"8.8"
"Italy","2-4y",259241,"19"
"Piedmont","5_8",4649,"3.4"
"Aosta Valley","5_8",399,"9.6"
"Lombardy","5_8",54702,"15.5"
"AP Bolzano","5_8",488,"2.2"
"AP Trento","5_8",3530,"17.4"
"Veneto","5_8",16662,"10.1"
"Friuli-Venezia Giulia","5_8",4522,"12.1"
"Liguria","5_8",8499,"19.4"
"Emilia-Romagna","5_8",9076,"6"
"Tuscany","5_8",20966,"17.8"
"Umbria","5_8",1862,"6.7"
"Marche","5_8",7497,"15.2"
"Lazio","5_8",30977,"15.4"
"Abruzzo","5_8",2518,"6"
"Molise","5_8",1014,"11.7"
"Campania","5_8",41301,"20"
"Apulia","5_8",32027,"24.5"
"Basilicata","5_8",3255,"19.8"
"Calabria","5_8",6048,"9.4"
"Sicily","5_8",8494,"5"
"Sardinia","5_8",5372,"11.7"
"Italy","5_8",263858,"13.1"
"Piedmont","9_14",5428,"2.4"
"Aosta Valley","9_14",217,"3"
"Lombardy","9_14",43447,"7.4"
"AP Bolzano","9_14",504,"1.5"
"AP Trento","9_14",1570,"4.8"
"Veneto","9_14",10377,"3.7"
"Friuli-Venezia Giulia","9_14",1651,"2.6"
"Liguria","9_14",3586,"4.9"
"Emilia-Romagna","9_14",9727,"3.9"
"Tuscany","9_14",24054,"12.1"
"Umbria","9_14",1701,"3.6"
"Marche","9_14",2307,"2.8"
"Lazio","9_14",23288,"7.1"
"Abruzzo","9_14",1928,"2.8"
"Molise","9_14",557,"3.9"
"Campania","9_14",21297,"6"
"Apulia","9_14",31037,"14"
"Basilicata","9_14",2596,"9.2"
"Calabria","9_14",2267,"2.2"
"Sicily","9_14",9358,"3.3"
"Sardinia","9_14",3268,"4.1"
"Italy","9_14",200165,"6"
"Piedmont","15_17",1925,"1.7"
"Aosta Valley","15_17",62,"1.8"
"Lombardy","15_17",10309,"3.6"
"AP Bolzano","15_17",201,"1.2"
"AP Trento","15_17",623,"3.7"
"Veneto","15_17",6822,"4.9"
"Friuli-Venezia Giulia","15_17",660,"2.1"
"Liguria","15_17",2026,"5.4"
"Emilia-Romagna","15_17",4311,"3.6"
"Tuscany","15_17",6305,"6.4"
"Umbria","15_17",502,"2.1"
"Marche","15_17",1410,"3.4"
"Lazio","15_17",7756,"4.8"
"Abruzzo","15_17",1222,"3.5"
"Molise","15_17",174,"2.3"
"Campania","15_17",10019,"5.3"
"Apulia","15_17",7476,"6.2"
"Basilicata","15_17",1592,"10.3"
"Calabria","15_17",1287,"2.3"
"Sicily","15_17",9912,"6.6"
"Sardinia","15_17",1642,"4.1"
"Italy","15_17",76236,"4.5"
"Piedmont","18_44",46944,"3.9"
"Aosta Valley","18_44",1259,"3.6"
"Lombardy","18_44",102785,"3.4"
"AP Bolzano","18_44",4622,"2.7"
"AP Trento","18_44",18974,"11.5"
"Veneto","18_44",67825,"4.8"
"Friuli-Venezia Giulia","18_44",18095,"5.5"
"Liguria","18_44",40770,"10.3"
"Emilia-Romagna","18_44",96592,"7.4"
"Tuscany","18_44",91058,"8.7"
"Umbria","18_44",10996,"4.4"
"Marche","18_44",36107,"8.2"
"Lazio","18_44",166714,"9.6"
"Abruzzo","18_44",17092,"4.4"
"Molise","18_44",3303,"3.7"
"Campania","18_44",76520,"4"
"Apulia","18_44",101241,"8.1"
"Basilicata","18_44",5244,"3.1"
"Calabria","18_44",19332,"3.2"
"Sicily","18_44",103643,"6.6"
"Sardinia","18_44",31597,"6.7"
"Italy","18_44",1060713,"5.9"
"Piedmont","45_64",178397,"13.5"
"Aosta Valley","45_64",4963,"12.6"
"Lombardy","45_64",270730,"8.8"
"AP Bolzano","45_64",12369,"7.9"
"AP Trento","45_64",33790,"20.6"
"Veneto","45_64",241270,"15.8"
"Friuli-Venezia Giulia","45_64",62779,"16.7"
"Liguria","45_64",101815,"21.4"
"Emilia-Romagna","45_64",274383,"19.9"
"Tuscany","45_64",238037,"21"
"Umbria","45_64",39504,"15.1"
"Marche","45_64",86600,"19"
"Lazio","45_64",420554,"23.4"
"Abruzzo","45_64",1764,"0.4"
"Molise","45_64",12701,"14.1"
