"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2020-46",2020-11-09,2020-11-15,"FLU A",49,48,0
"2020-46",2020-11-09,2020-11-15,"A",49,48,0
"2020-46",2020-11-09,2020-11-15,"A(H3N2)",49,48,0
"2020-46",2020-11-09,2020-11-15,"A(H1N1)pdm2009",49,48,0
"2020-46",2020-11-09,2020-11-15,"FLU B",49,48,0
"2020-46",2020-11-09,2020-11-15,"SARS-CoV-2",49,48,18
"2020-47",2020-11-16,2020-11-22,"FLU A",174,173,0
"2020-47",2020-11-16,2020-11-22,"A",174,173,0
"2020-47",2020-11-16,2020-11-22,"A(H3N2)",174,173,0
"2020-47",2020-11-16,2020-11-22,"A(H1N1)pdm2009",174,173,0
"2020-47",2020-11-16,2020-11-22,"FLU B",174,173,0
"2020-47",2020-11-16,2020-11-22,"SARS-CoV-2",174,173,12
"2020-48",2020-11-23,2020-11-29,"FLU A",156,153,0
"2020-48",2020-11-23,2020-11-29,"A",156,153,0
"2020-48",2020-11-23,2020-11-29,"A(H3N2)",156,153,0
"2020-48",2020-11-23,2020-11-29,"A(H1N1)pdm2009",156,153,0
"2020-48",2020-11-23,2020-11-29,"FLU B",156,153,0
"2020-48",2020-11-23,2020-11-29,"SARS-CoV-2",156,153,29
"2020-49",2020-11-30,2020-12-06,"FLU A",148,148,0
"2020-49",2020-11-30,2020-12-06,"A",148,148,0
"2020-49",2020-11-30,2020-12-06,"A(H3N2)",148,148,0
"2020-49",2020-11-30,2020-12-06,"A(H1N1)pdm2009",148,148,0
"2020-49",2020-11-30,2020-12-06,"FLU B",148,148,0
"2020-49",2020-11-30,2020-12-06,"SARS-CoV-2",148,148,17
"2020-50",2020-12-07,2020-12-13,"FLU A",152,148,0
"2020-50",2020-12-07,2020-12-13,"A",152,148,0
"2020-50",2020-12-07,2020-12-13,"A(H3N2)",152,148,0
"2020-50",2020-12-07,2020-12-13,"A(H1N1)pdm2009",152,148,0
"2020-50",2020-12-07,2020-12-13,"FLU B",152,148,0
"2020-50",2020-12-07,2020-12-13,"SARS-CoV-2",152,148,26
"2020-51",2020-12-14,2020-12-20,"FLU A",128,128,0
"2020-51",2020-12-14,2020-12-20,"A",128,128,0
"2020-51",2020-12-14,2020-12-20,"A(H3N2)",128,128,0
"2020-51",2020-12-14,2020-12-20,"A(H1N1)pdm2009",128,128,0
"2020-51",2020-12-14,2020-12-20,"FLU B",128,128,0
"2020-51",2020-12-14,2020-12-20,"SARS-CoV-2",128,128,12
"2020-52",2020-12-21,2020-12-27,"FLU A",90,80,0
"2020-52",2020-12-21,2020-12-27,"A",90,80,0
"2020-52",2020-12-21,2020-12-27,"A(H3N2)",90,80,0
"2020-52",2020-12-21,2020-12-27,"A(H1N1)pdm2009",90,80,0
"2020-52",2020-12-21,2020-12-27,"FLU B",90,80,0
"2020-52",2020-12-21,2020-12-27,"SARS-CoV-2",90,80,11
"2020-53",2020-12-28,2021-01-03,"FLU A",100,100,0
"2020-53",2020-12-28,2021-01-03,"A",100,100,0
"2020-53",2020-12-28,2021-01-03,"A(H3N2)",100,100,0
"2020-53",2020-12-28,2021-01-03,"A(H1N1)pdm2009",100,100,0
"2020-53",2020-12-28,2021-01-03,"FLU B",100,100,0
"2020-53",2020-12-28,2021-01-03,"SARS-CoV-2",100,100,9
"2021-01",2021-01-04,2021-01-10,"FLU A",121,119,0
"2021-01",2021-01-04,2021-01-10,"A",121,119,0
"2021-01",2021-01-04,2021-01-10,"A(H3N2)",121,119,0
"2021-01",2021-01-04,2021-01-10,"A(H1N1)pdm2009",121,119,0
"2021-01",2021-01-04,2021-01-10,"FLU B",121,119,0
"2021-01",2021-01-04,2021-01-10,"SARS-CoV-2",121,119,16
"2021-02",2021-01-11,2021-01-17,"FLU A",154,149,0
"2021-02",2021-01-11,2021-01-17,"A",154,149,0
"2021-02",2021-01-11,2021-01-17,"A(H3N2)",154,149,0
"2021-02",2021-01-11,2021-01-17,"A(H1N1)pdm2009",154,149,0
"2021-02",2021-01-11,2021-01-17,"FLU B",154,149,0
"2021-02",2021-01-11,2021-01-17,"SARS-CoV-2",154,149,10
"2021-03",2021-01-18,2021-01-24,"FLU A",223,172,0
"2021-03",2021-01-18,2021-01-24,"A",223,172,0
"2021-03",2021-01-18,2021-01-24,"A(H3N2)",223,172,0
"2021-03",2021-01-18,2021-01-24,"A(H1N1)pdm2009",223,172,0
"2021-03",2021-01-18,2021-01-24,"FLU B",223,172,0
"2021-03",2021-01-18,2021-01-24,"SARS-CoV-2",223,172,23
"2021-04",2021-01-25,2021-01-31,"FLU A",103,95,0
"2021-04",2021-01-25,2021-01-31,"A",103,95,0
"2021-04",2021-01-25,2021-01-31,"A(H3N2)",103,95,0
"2021-04",2021-01-25,2021-01-31,"A(H1N1)pdm2009",103,95,0
"2021-04",2021-01-25,2021-01-31,"FLU B",103,95,0
"2021-04",2021-01-25,2021-01-31,"SARS-CoV-2",103,95,14
"2021-05",2021-02-01,2021-02-07,"FLU A",240,234,0
"2021-05",2021-02-01,2021-02-07,"A",240,234,0
"2021-05",2021-02-01,2021-02-07,"A(H3N2)",240,234,0
"2021-05",2021-02-01,2021-02-07,"A(H1N1)pdm2009",240,234,0
"2021-05",2021-02-01,2021-02-07,"FLU B",240,234,0
"2021-05",2021-02-01,2021-02-07,"SARS-CoV-2",240,234,27
"2021-06",2021-02-08,2021-02-14,"FLU A",158,155,0
"2021-06",2021-02-08,2021-02-14,"A",158,155,0
"2021-06",2021-02-08,2021-02-14,"A(H3N2)",158,155,0
"2021-06",2021-02-08,2021-02-14,"A(H1N1)pdm2009",158,155,0
"2021-06",2021-02-08,2021-02-14,"FLU B",158,155,0
"2021-06",2021-02-08,2021-02-14,"SARS-CoV-2",158,155,5
"2021-07",2021-02-15,2021-02-21,"FLU A",195,190,0
"2021-07",2021-02-15,2021-02-21,"A",195,190,0
"2021-07",2021-02-15,2021-02-21,"A(H3N2)",195,190,0
"2021-07",2021-02-15,2021-02-21,"A(H1N1)pdm2009",195,190,0
"2021-07",2021-02-15,2021-02-21,"FLU B",195,190,0
"2021-07",2021-02-15,2021-02-21,"SARS-CoV-2",195,190,24
"2021-08",2021-02-22,2021-02-28,"FLU A",282,280,0
"2021-08",2021-02-22,2021-02-28,"A",282,280,0
"2021-08",2021-02-22,2021-02-28,"A(H3N2)",282,280,0
"2021-08",2021-02-22,2021-02-28,"A(H1N1)pdm2009",282,280,0
"2021-08",2021-02-22,2021-02-28,"FLU B",282,280,0
"2021-08",2021-02-22,2021-02-28,"SARS-CoV-2",282,280,48
"2021-09",2021-03-01,2021-03-07,"FLU A",247,241,0
"2021-09",2021-03-01,2021-03-07,"A",247,241,0
"2021-09",2021-03-01,2021-03-07,"A(H3N2)",247,241,0
"2021-09",2021-03-01,2021-03-07,"A(H1N1)pdm2009",247,241,0
"2021-09",2021-03-01,2021-03-07,"FLU B",247,241,0
"2021-09",2021-03-01,2021-03-07,"SARS-CoV-2",247,241,46
"2021-10",2021-03-08,2021-03-14,"FLU A",314,310,0
"2021-10",2021-03-08,2021-03-14,"A",314,310,0
"2021-10",2021-03-08,2021-03-14,"A(H3N2)",314,310,0
"2021-10",2021-03-08,2021-03-14,"A(H1N1)pdm2009",314,310,0
"2021-10",2021-03-08,2021-03-14,"FLU B",314,310,0
"2021-10",2021-03-08,2021-03-14,"SARS-CoV-2",314,310,109
"2021-11",2021-03-15,2021-03-21,"FLU A",306,305,0
"2021-11",2021-03-15,2021-03-21,"A",306,305,0
"2021-11",2021-03-15,2021-03-21,"A(H3N2)",306,305,0
"2021-11",2021-03-15,2021-03-21,"A(H1N1)pdm2009",306,305,0
"2021-11",2021-03-15,2021-03-21,"FLU B",306,305,0
"2021-11",2021-03-15,2021-03-21,"SARS-CoV-2",306,305,104
"2021-12",2021-03-22,2021-03-28,"FLU A",396,390,0
"2021-12",2021-03-22,2021-03-28,"A",396,390,0
"2021-12",2021-03-22,2021-03-28,"A(H3N2)",396,390,0
"2021-12",2021-03-22,2021-03-28,"A(H1N1)pdm2009",396,390,0
"2021-12",2021-03-22,2021-03-28,"FLU B",396,390,0
"2021-12",2021-03-22,2021-03-28,"SARS-CoV-2",396,390,115
"2021-13",2021-03-29,2021-04-04,"FLU A",310,309,0
"2021-13",2021-03-29,2021-04-04,"A",310,309,0
"2021-13",2021-03-29,2021-04-04,"A(H3N2)",310,309,0
"2021-13",2021-03-29,2021-04-04,"A(H1N1)pdm2009",310,309,0
"2021-13",2021-03-29,2021-04-04,"FLU B",310,309,0
"2021-13",2021-03-29,2021-04-04,"SARS-CoV-2",310,309,87
"2021-14",2021-04-05,2021-04-11,"FLU A",255,249,0
"2021-14",2021-04-05,2021-04-11,"A",255,249,0
"2021-14",2021-04-05,2021-04-11,"A(H3N2)",255,249,0
"2021-14",2021-04-05,2021-04-11,"A(H1N1)pdm2009",255,249,0
"2021-14",2021-04-05,2021-04-11,"FLU B",255,249,0
"2021-14",2021-04-05,2021-04-11,"SARS-CoV-2",255,249,63
"2021-15",2021-04-12,2021-04-18,"FLU A",236,234,0
"2021-15",2021-04-12,2021-04-18,"A",236,234,0
"2021-15",2021-04-12,2021-04-18,"A(H3N2)",236,234,0
"2021-15",2021-04-12,2021-04-18,"A(H1N1)pdm2009",236,234,0
"2021-15",2021-04-12,2021-04-18,"FLU B",236,234,0
"2021-15",2021-04-12,2021-04-18,"SARS-CoV-2",236,234,36
"2021-16",2021-04-19,2021-04-25,"FLU A",252,252,0
"2021-16",2021-04-19,2021-04-25,"A",252,252,0
"2021-16",2021-04-19,2021-04-25,"A(H3N2)",252,252,0
"2021-16",2021-04-19,2021-04-25,"A(H1N1)pdm2009",252,252,0
"2021-16",2021-04-19,2021-04-25,"FLU B",252,252,0
"2021-16",2021-04-19,2021-04-25,"SARS-CoV-2",252,252,50
