"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2021-46",2021-11-15,2021-11-21,"FLU A",280,259,2
"2021-46",2021-11-15,2021-11-21,"A",280,259,0
"2021-46",2021-11-15,2021-11-21,"A(H3N2)",280,259,2
"2021-46",2021-11-15,2021-11-21,"A(H1N1)pdm2009",280,259,0
"2021-46",2021-11-15,2021-11-21,"FLU B",280,259,1
"2021-46",2021-11-15,2021-11-21,"SARS-CoV-2",280,259,10
"2021-47",2021-11-22,2021-11-28,"FLU A",631,589,3
"2021-47",2021-11-22,2021-11-28,"A",631,589,0
"2021-47",2021-11-22,2021-11-28,"A(H3N2)",631,589,3
"2021-47",2021-11-22,2021-11-28,"A(H1N1)pdm2009",631,589,0
"2021-47",2021-11-22,2021-11-28,"FLU B",631,589,0
"2021-47",2021-11-22,2021-11-28,"SARS-CoV-2",631,589,155
"2021-48",2021-11-29,2021-12-05,"FLU A",513,484,1
"2021-48",2021-11-29,2021-12-05,"A",513,484,1
"2021-48",2021-11-29,2021-12-05,"A(H3N2)",513,484,0
"2021-48",2021-11-29,2021-12-05,"A(H1N1)pdm2009",513,484,0
"2021-48",2021-11-29,2021-12-05,"FLU B",513,484,0
"2021-48",2021-11-29,2021-12-05,"SARS-CoV-2",513,484,106
"2021-49",2021-12-06,2021-12-12,"FLU A",409,396,3
"2021-49",2021-12-06,2021-12-12,"A",409,396,0
"2021-49",2021-12-06,2021-12-12,"A(H3N2)",409,396,3
"2021-49",2021-12-06,2021-12-12,"A(H1N1)pdm2009",409,396,0
"2021-49",2021-12-06,2021-12-12,"FLU B",409,396,2
"2021-49",2021-12-06,2021-12-12,"SARS-CoV-2",409,396,72
"2021-50",2021-12-13,2021-12-19,"FLU A",396,387,3
"2021-50",2021-12-13,2021-12-19,"A",396,387,0
"2021-50",2021-12-13,2021-12-19,"A(H3N2)",396,387,3
"2021-50",2021-12-13,2021-12-19,"A(H1N1)pdm2009",396,387,0
"2021-50",2021-12-13,2021-12-19,"FLU B",396,387,1
"2021-50",2021-12-13,2021-12-19,"SARS-CoV-2",396,387,80
