"year_week","start_date","e0_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2022-43",2022-10-24,2022-10-30,"Piedmont",1,45.0732745,7.680687483,"55","478","75002","6.37","64","15.63","63","6.45","261","6.15","90","4.82"
"2022-43",2022-10-24,2022-10-30,"Aosta Valley",2,45.73750286,7.320149366,"3","3","4349","0.69","0","0","0","0","3","0.92","0","0"
"2022-43",2022-10-24,2022-10-30,"Lombardy",3,45.46679409,9.190347404,"175","2085","238298","8.75","435","26.06","347","9.02","1014","7.73","289","5.57"
"2022-43",2022-10-24,2022-10-30,"AP Bolzano",21,46.49933453,11.35662422,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"AP Trento",22,46.06893511,11.12123097,"11","21","16452","1.28","2","6.21","6","5.05","12","1.15","1","0.22"
"2022-43",2022-10-24,2022-10-30,"Veneto",5,45.43490485,12.33845213,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"11","22","14151","1.55","2","1.4","2","0.48","17","2.82","1","0.39"
"2022-43",2022-10-24,2022-10-30,"Liguria",7,44.41149315,8.9326992,"7","15","8583","1.75","3","6.74","7","5.21","4","0.93","1","0.4"
"2022-43",2022-10-24,2022-10-30,"Emilia-Romagna",8,44.49436681,11.3417208,"39","163","45114","3.61","38","10.28","37","4.27","66","2.71","22","2.63"
"2022-43",2022-10-24,2022-10-30,"Tuscany",9,43.76923077,11.25588885,"35","243","47908","5.07","118","51.44","22","3.84","80","2.85","23","1.94"
"2022-43",2022-10-24,2022-10-30,"Umbria",10,43.10675841,12.38824698,"8","33","7886","4.18","6","5.99","11","4.85","9","2.77","7","5.12"
"2022-43",2022-10-24,2022-10-30,"Marche",11,43.61675973,13.5188753,"22","110","26989","4.08","28","12.62","16","2.49","55","4.15","11","2.17"
"2022-43",2022-10-24,2022-10-30,"Lazio",12,41.89277044,12.48366722,"175","642","230590","2.78","94","10.04","81","3.21","363","2.56","104","1.93"
"2022-43",2022-10-24,2022-10-30,"Abruzzo",13,42.35122196,13.39843823,"8","32","11641","2.75","0","0","2","1.78","22","2.92","8","2.98"
"2022-43",2022-10-24,2022-10-30,"Molise",14,41.55774754,14.65916051,"3","0","3425","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Apulia",16,41.12559576,16.86736689,"53","200","67444","2.97","33","8.62","36","4.03","106","2.72","25","1.59"
"2022-43",2022-10-24,2022-10-30,"Basilicata",17,40.63947052,15.80514834,"10","30","17249","1.74","10","8.97","20","9.02","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Sicily",19,38.11569725,13.3623567,"108","495","132014","3.75","199","35.73","115","8.33","134","1.65","47","1.49"
"2022-43",2022-10-24,2022-10-30,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Piedmont",1,45.0732745,7.680687483,"64","547","86517","6.32","55","12.52","72","6.85","321","6.47","99","4.49"
"2022-44",2022-10-31,2022-11-06,"Aosta Valley",2,45.73750286,7.320149366,"2","2","2729","0.73","0","0","0","0","1","0.5","1","1.54"
"2022-44",2022-10-31,2022-11-06,"Lombardy",3,45.46679409,9.190347404,"183","1971","245853","8.02","408","22.57","341","8.15","990","7.49","232","4.32"
"2022-44",2022-10-31,2022-11-06,"AP Bolzano",21,46.49933453,11.35662422,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"AP Trento",22,46.06893511,11.12123097,"16","64","21935","2.92","10","11.16","14","4.69","31","2.43","9","1.7"
"2022-44",2022-10-31,2022-11-06,"Veneto",5,45.43490485,12.33845213,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"20","84","25797","3.26","17","8.19","9","1.81","50","3.87","8","1.37"
"2022-44",2022-10-31,2022-11-06,"Liguria",7,44.41149315,8.9326992,"21","58","26893","2.16","7","6.48","9","3.05","29","1.95","13","1.63"
"2022-44",2022-10-31,2022-11-06,"Emilia-Romagna",8,44.49436681,11.3417208,"43","205","49730","4.12","47","10.65","53","4.77","94","3.86","11","1.12"
"2022-44",2022-10-31,2022-11-06,"Tuscany",9,43.76923077,11.25588885,"40","211","52514","4.02","44","16.25","39","5.75","95","3.16","33","2.54"
"2022-44",2022-10-31,2022-11-06,"Umbria",10,43.10675841,12.38824698,"13","71","14409","4.93","15","14.99","16","6.66","32","4.13","8","2.46"
"2022-44",2022-10-31,2022-11-06,"Marche",11,43.61675973,13.5188753,"34","204","41338","4.93","72","18.44","47","4.39","66","3.45","19","2.5"
"2022-44",2022-10-31,2022-11-06,"Lazio",12,41.89277044,12.48366722,"186","929","245400","3.79","93","9.66","128","4.92","549","3.63","159","2.72"
"2022-44",2022-10-31,2022-11-06,"Abruzzo",13,42.35122196,13.39843823,"19","81","25350","3.2","18","16.97","11","3.43","39","2.55","13","2.26"
"2022-44",2022-10-31,2022-11-06,"Molise",14,41.55774754,14.65916051,"2","0","1746","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Apulia",16,41.12559576,16.86736689,"65","250","83139","3.01","61","12.01","54","4.71","116","2.42","19","1.02"
"2022-44",2022-10-31,2022-11-06,"Basilicata",17,40.63947052,15.80514834,"10","29","17249","1.68","19","17.04","10","4.51","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Sicily",19,38.11569725,13.3623567,"109","548","135992","4.03","90","14.2","126","8.22","215","2.62","117","3.61"
"2022-44",2022-10-31,2022-11-06,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Piedmont",1,45.0732745,7.680687483,"62","742","83976","8.84","79","16.72","113","9.84","405","8.57","145","7.07"
"2022-45",2022-11-07,2022-11-13,"Aosta Valley",2,45.73750286,7.320149366,"2","3","2832","1.06","0","0","0","0","1","0.5","2","2.64"
"2022-45",2022-11-07,2022-11-13,"Lombardy",3,45.46679409,9.190347404,"210","3042","282675","10.76","594","29.24","618","13.12","1525","9.84","305","5.06"
"2022-45",2022-11-07,2022-11-13,"AP Bolzano",21,46.49933453,11.35662422,"6","30","8731","3.44","4","5.93","9","5.47","17","3.64","0","0"
"2022-45",2022-11-07,2022-11-13,"AP Trento",22,46.06893511,11.12123097,"14","92","19345","4.76","20","34.97","12","5.82","52","4.4","8","1.64"
"2022-45",2022-11-07,2022-11-13,"Veneto",5,45.43490485,12.33845213,"44","280","61833","4.53","48","13.23","102","11.5","112","3.23","18","1.23"
"2022-45",2022-11-07,2022-11-13,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"21","109","27519","3.96","18","8.67","20","4.03","57","4.02","14","2.21"
"2022-45",2022-11-07,2022-11-13,"Liguria",7,44.41149315,8.9326992,"29","153","37076","4.13","11","13.51","20","8.34","102","4.57","20","1.74"
"2022-45",2022-11-07,2022-11-13,"Emilia-Romagna",8,44.49436681,11.3417208,"60","473","72648","6.51","96","18.79","115","8.72","218","5.56","44","2.91"
"2022-45",2022-11-07,2022-11-13,"Tuscany",9,43.76923077,11.25588885,"43","275","57907","4.75","61","21.49","59","8.16","114","3.42","41","2.82"
"2022-45",2022-11-07,2022-11-13,"Umbria",10,43.10675841,12.38824698,"12","134","12911","10.38","29","28.97","30","12.51","60","8.53","15","6.06"
"2022-45",2022-11-07,2022-11-13,"Marche",11,43.61675973,13.5188753,"39","301","44133","6.82","77","18.5","90","7.97","117","5.77","17","2.03"
"2022-45",2022-11-07,2022-11-13,"Lazio",12,41.89277044,12.48366722,"197","1273","261721","4.86","121","12.57","166","6.32","811","4.96","175","2.8"
"2022-45",2022-11-07,2022-11-13,"Abruzzo",13,42.35122196,13.39843823,"29","268","35059","7.64","84","27.74","74","11.09","88","4.7","22","3.32"
"2022-45",2022-11-07,2022-11-13,"Molise",14,41.55774754,14.65916051,"10","12","11818","1.02","0","0","0","0","8","1.01","4","1.31"
"2022-45",2022-11-07,2022-11-13,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Apulia",16,41.12559576,16.86736689,"58","324","68938","4.7","58","9.17","67","5.19","158","4.36","41","3.05"
"2022-45",2022-11-07,2022-11-13,"Basilicata",17,40.63947052,15.80514834,"10","39","17249","2.26","18","16.14","7","3.16","13","1.81","1","0.15"
"2022-45",2022-11-07,2022-11-13,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Sicily",19,38.11569725,13.3623567,"113","661","141067","4.69","88","16.49","118","8.79","324","3.67","131","3.85"
"2022-45",2022-11-07,2022-11-13,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Piedmont",1,45.0732745,7.680687483,"62","824","83086","9.92","105","23.91","133","12.64","466","9.93","120","5.65"
"2022-46",2022-11-14,2022-11-20,"Aosta Valley",2,45.73750286,7.320149366,"4","19","5449","3.49","10","28.9","5","6.02","4","1.23","0","0"
"2022-46",2022-11-14,2022-11-20,"Lombardy",3,45.46679409,9.190347404,"215","4212","293294","14.36","769","38.68","973","21.29","2085","12.67","385","6.09"
"2022-46",2022-11-14,2022-11-20,"AP Bolzano",21,46.49933453,11.35662422,"7","64","10310","6.21","19","28.19","21","12.76","22","3.73","2","0.96"
"2022-46",2022-11-14,2022-11-20,"AP Trento",22,46.06893511,11.12123097,"14","115","19232","5.98","19","33.22","25","11.95","66","5.61","5","1.04"
"2022-46",2022-11-14,2022-11-20,"Veneto",5,45.43490485,12.33845213,"73","1098","102231","10.74","265","35.49","391","21.63","392","7.2","50","2.25"
"2022-46",2022-11-14,2022-11-20,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"23","204","32069","6.36","37","20.72","40","8.17","105","5.99","22","2.8"
"2022-46",2022-11-14,2022-11-20,"Liguria",7,44.41149315,8.9326992,"26","218","33797","6.45","14","12.95","20","6.59","149","7.67","35","3.41"
"2022-46",2022-11-14,2022-11-20,"Emilia-Romagna",8,44.49436681,11.3417208,"70","1047","85577","12.23","218","35.1","302","18.89","449","9.82","78","4.42"
"2022-46",2022-11-14,2022-11-20,"Tuscany",9,43.76923077,11.25588885,"43","563","58307","9.66","109","38.39","156","21.55","243","7.19","55","3.81"
"2022-46",2022-11-14,2022-11-20,"Umbria",10,43.10675841,12.38824698,"13","168","14408","11.66","46","45.95","37","15.19","72","9.07","13","4.29"
"2022-46",2022-11-14,2022-11-20,"Marche",11,43.61675973,13.5188753,"44","540","49885","10.82","178","33.71","204","14.79","128","5.88","30","3.32"
"2022-46",2022-11-14,2022-11-20,"Lazio",12,41.89277044,12.48366722,"188","1529","249340","6.13","147","15.83","242","9.47","958","6.17","182","3.07"
"2022-46",2022-11-14,2022-11-20,"Abruzzo",13,42.35122196,13.39843823,"36","345","44723","7.71","76","30.76","91","14.79","135","5.19","43","4.26"
"2022-46",2022-11-14,2022-11-20,"Molise",14,41.55774754,14.65916051,"8","35","9709","3.6","8","19.18","12","12.62","11","1.7","4","2.13"
"2022-46",2022-11-14,2022-11-20,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Apulia",16,41.12559576,16.86736689,"73","511","96251","5.31","69","12.55","103","8.38","268","4.71","71","3.29"
"2022-46",2022-11-14,2022-11-20,"Basilicata",17,40.63947052,15.80514834,"10","32","17249","1.86","16","14.35","12","5.41","4","0.56","0","0"
"2022-46",2022-11-14,2022-11-20,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Sicily",19,38.11569725,13.3623567,"84","904","103412","8.74","158","26.06","258","18.25","389","6.52","99","4.21"
"2022-46",2022-11-14,2022-11-20,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-47",2022-11-21,2022-11-27,"Piedmont",1,45.0732745,7.680687483,"60","1164","82943","14.03","140","31.88","234","22.57","638","13.59","152","7.16"
"2022-47",2022-11-21,2022-11-27,"Aosta Valley",2,45.73750286,7.320149366,"3","25","3829","6.53","12","34.68","7","8.55","6","2.98","0","0"
"2022-47",2022-11-21,2022-11-27,"Lombardy",3,45.46679409,9.190347404,"222","5427","304850","17.8","1082","48.1","1394","27.76","2480","14.73","471","7.39"
"2022-47",2022-11-21,2022-11-27,"AP Bolzano",21,46.49933453,11.35662422,"5","123","7645","16.09","44","130.56","37","42.43","39","8.26","3","1.75"
"2022-47",2022-11-21,2022-11-27,"AP Trento",22,46.06893511,11.12123097,"15","202","20590","9.81","11","19.23","44","20.49","130","10.15","17","3.36"
"2022-47",2022-11-21,2022-11-27,"Veneto",5,45.43490485,12.33845213,"86","1980","120541","16.43","406","45.72","789","37.15","675","10.5","110","4.21"
