"Date of Notification","Cases","Cumulative"
2022-03-07,1,1
2022-04-22,1,2
2022-04-26,1,3
2022-04-29,2,5
2022-05-01,1,6
2022-05-04,2,8
2022-05-05,3,11
2022-05-06,1,12
2022-05-07,6,18
2022-05-08,2,20
2022-05-09,4,24
2022-05-10,6,30
2022-05-11,3,33
2022-05-12,8,41
2022-05-13,2,43
2022-05-14,8,51
2022-05-15,2,53
2022-05-16,8,61
2022-05-17,19,80
2022-05-18,43,123
2022-05-19,45,168
2022-05-20,59,227
2022-05-21,19,246
2022-05-22,13,259
2022-05-23,61,320
2022-05-24,70,390
2022-05-25,70,460
2022-05-26,57,517
2022-05-27,74,591
2022-05-28,28,619
2022-05-29,34,653
2022-05-30,92,745
2022-05-31,90,835
2022-06-01,98,933
2022-06-02,99,1032
2022-06-03,78,1110
2022-06-04,47,1157
2022-06-05,26,1183
2022-06-06,82,1265
2022-06-07,174,1439
2022-06-08,119,1558
2022-06-09,143,1701
2022-06-10,174,1875
2022-06-11,49,1924
2022-06-12,45,1969
2022-06-13,234,2203
2022-06-14,187,2390
2022-06-15,239,2629
2022-06-16,257,2886
2022-06-17,261,3147
2022-06-18,79,3226
2022-06-19,43,3269
2022-06-20,325,3594
2022-06-21,341,3935
2022-06-22,326,4261
2022-06-23,347,4608
2022-06-24,359,4967
2022-06-25,56,5023
2022-06-26,63,5086
2022-06-27,393,5479
2022-06-28,380,5859
2022-06-29,353,6212
2022-06-30,390,6602
2022-07-01,430,7032
2022-07-02,86,7118
2022-07-03,79,7197
2022-07-04,477,7674
2022-07-05,437,8111
2022-07-06,372,8483
2022-07-07,568,9051
2022-07-08,448,9499
2022-07-09,104,9603
2022-07-10,62,9665
2022-07-11,544,10209
2022-07-12,542,10751
2022-07-13,541,11292
2022-07-14,357,11649
2022-07-15,430,12079
2022-07-16,123,12202
2022-07-17,57,12259
2022-07-18,609,12868
2022-07-19,462,13330
2022-07-20,457,13787
2022-07-21,397,14184
2022-07-22,481,14665
2022-07-23,88,14753
2022-07-24,58,14811
2022-07-25,435,15246
2022-07-26,466,15712
2022-07-27,440,16152
2022-07-28,440,16592
2022-07-29,453,17045
2022-07-30,77,17122
2022-07-31,54,17176
2022-08-01,407,17583
2022-08-02,396,17979
2022-08-03,426,18405
2022-08-04,370,18775
2022-08-05,327,19102
2022-08-06,59,19161
2022-08-07,41,19202
2022-08-08,398,19600
2022-08-09,303,19903
2022-08-10,330,20233
2022-08-11,277,20510
2022-08-12,227,20737
2022-08-13,63,20800
2022-08-14,38,20838
2022-08-15,113,20951
2022-08-16,265,21216
2022-08-17,224,21440
2022-08-18,222,21662
2022-08-19,220,21882
2022-08-20,48,21930
2022-08-21,20,21950
2022-08-22,192,22142
2022-08-23,204,22346
2022-08-24,190,22536
2022-08-25,195,22731
2022-08-26,142,22873
2022-08-27,16,22889
2022-08-28,27,22916
2022-08-29,136,23052
2022-08-30,134,23186
2022-08-31,148,23334
2022-09-01,130,23464
2022-09-02,112,23576
2022-09-03,21,23597
2022-09-04,14,23611
2022-09-05,91,23702
2022-09-06,119,23821
2022-09-07,116,23937
2022-09-08,101,24038
2022-09-09,92,24130
2022-09-10,16,24146
2022-09-11,5,24151
2022-09-12,89,24240
2022-09-13,78,24318
2022-09-14,75,24393
2022-09-15,81,24474
2022-09-16,60,24534
2022-09-17,10,24544
2022-09-18,6,24550
2022-09-19,43,24593
2022-09-20,80,24673
2022-09-21,41,24714
2022-09-22,59,24773
2022-09-23,38,24811
2022-09-24,4,24815
2022-09-25,9,24824
2022-09-26,46,24870
2022-09-27,42,24912
2022-09-28,46,24958
2022-09-29,34,24992
2022-09-30,31,25023
2022-10-01,8,25031
2022-10-02,3,25034
2022-10-03,18,25052
2022-10-04,28,25080
2022-10-05,30,25110
2022-10-06,32,25142
2022-10-07,28,25170
2022-10-08,3,25173
2022-10-09,3,25176
2022-10-10,24,25200
2022-10-11,41,25241
2022-10-12,10,25251
2022-10-13,28,25279
2022-10-14,12,25291
2022-10-15,3,25294
2022-10-16,2,25296
2022-10-17,17,25313
2022-10-18,13,25326
2022-10-19,9,25335
2022-10-20,14,25349
2022-10-21,9,25358
2022-10-23,1,25359
2022-10-24,9,25368
2022-10-25,6,25374
2022-10-26,11,25385
2022-10-27,11,25396
2022-10-28,9,25405
2022-10-31,6,25411
2022-11-01,3,25414
2022-11-02,8,25422
2022-11-03,11,25433
2022-11-04,20,25453
2022-11-07,6,25459
2022-11-08,6,25465
2022-11-09,7,25472
2022-11-10,8,25480
2022-11-11,6,25486
2022-11-14,10,25496
2022-11-15,7,25503
2022-11-16,5,25508
2022-11-17,12,25520
2022-11-18,2,25522
2022-11-20,1,25523
2022-11-21,4,25527
2022-11-22,5,25532
2022-11-23,5,25537
2022-11-24,9,25546
2022-11-25,8,25554
2022-11-26,2,25556
2022-11-27,1,25557
2022-11-28,7,25564
2022-11-29,6,25570
2022-11-30,4,25574
2022-12-01,9,25583
2022-12-02,2,25585
2022-12-04,1,25586
2022-12-05,6,25592
2022-12-06,5,25597
2022-12-07,4,25601
2022-12-08,1,25602
2022-12-09,4,25606
2022-12-12,4,25610
2022-12-13,2,25612
2022-12-14,7,25619
2022-12-15,7,25626
2022-12-16,2,25628
2022-12-19,7,25635
2022-12-20,6,25641
2022-12-21,9,25650
2022-12-22,8,25658
2022-12-27,1,25659
2022-12-28,3,25662
2022-12-29,4,25666
2022-12-30,3,25669
2022-12-31,1,25670
2023-01-02,3,25673
2023-01-05,4,25677
2023-01-06,3,25680
2023-01-09,3,25683
2023-01-10,3,25686
2023-01-11,6,25692
2023-01-12,3,25695
2023-01-13,1,25696
2023-01-16,1,25697
2023-01-17,1,25698
2023-01-18,2,25700
2023-01-19,7,25707
2023-01-20,3,25710
2023-01-21,1,25711
2023-01-23,3,25714
2023-01-24,3,25717
2023-01-25,2,25719
2023-01-26,1,25720
2023-01-27,1,25721
2023-01-30,2,25723
2023-01-31,2,25725
2023-02-01,4,25729
2023-02-02,2,25731
2023-02-03,2,25733
2023-02-07,1,25734
2023-02-08,4,25738
2023-02-10,2,25740
2023-02-13,1,25741
