"data_bulletin","cases","cumulative","travel_related_cases","male","female"
2022-06-17,23,71,32,70,1
2022-06-21,14,85,36,84,1
2022-06-24,42,127,48,125,2
2022-06-28,32,159,61,157,2
2022-07-01,33,192,68,190,2
2022-07-05,41,233,78,231,2
2022-07-08,22,255,86,253,2
2022-07-12,37,292,92,290,2
2022-07-15,47,339,107,337,2
2022-07-19,35,374,113,372,2
2022-07-22,33,407,121,405,2
2022-07-26,19,426,129,424,2
2022-07-29,53,479,53,476,3
2022-08-02,26,505,149,501,4
2022-08-05,40,545,159,540,5
2022-08-09,54,599,169,590,9
2022-08-12,45,644,182,634,10
2022-08-16,18,662,185,652,10
2022-08-19,27,689,190,679,10
2022-08-23,25,714,194,704,10
2022-08-26,26,740,201,730,10
2022-08-30,20,760,205,749,11
2022-09-02,13,773,211,762,11
2022-09-06,14,787,216,776,11
2022-09-09,18,805,221,794,11
2022-09-13,8,813,224,802,11
2022-09-16,15,828,228,817,11
2022-09-20,9,837,232,826,11
2022-09-23,5,842,233,831,11
2022-09-27,4,846,235,835,11
2022-09-30,4,850,236,839,11
2022-10-04,1,851,236,840,11
2022-10-07,3,854,237,842,12
2022-10-11,2,856,238,844,12
2022-10-14,25,881,243,869,12
2022-10-18,7,888,244,875,13
2022-10-21,2,890,245,877,13
2022-10-25,0,890,245,877,13
2022-10-28,4,894,247,881,13
2022-11-01,2,896,247,883,13
2022-11-04,2,898,247,885,13
2022-11-08,16,914,248,900,14
2022-11-11,1,915,248,901,14
2022-11-15,0,915,248,901,14
2022-11-18,2,917,248,903,14
2022-11-22,0,917,248,903,14
2022-11-25,1,918,248,904,14
2022-11-29,2,920,248,906,14
2022-12-02,1,921,248,907,14
2022-12-06,2,923,248,909,14
2022-12-09,4,927,249,913,14
2022-12-13,0,927,249,913,14
2022-12-16,5,932,250,918,14
2022-12-20,4,936,250,922,14
2022-12-23,2,938,251,924,14
2022-12-27,8,946,252,932,14
2022-12-30,0,946,252,932,14
2023-01-03,5,951,252,937,14
2023-01-06,0,951,252,937,14
2023-01-10,0,951,252,937,14
2023-01-13,1,952,252,938,14
2023-01-17,7,959,253,945,14
2023-01-20,-5,954,252,940,14
2023-01-24,0,954,252,940,14
2023-01-27,0,954,252,940,14
2023-01-31,0,954,252,940,14
2023-02-03,1,955,252,941,14
2023-02-07,0,955,252,941,14
2023-02-10,2,957,252,943,14
2023-02-14,2,959,253,945,14
2023-02-17,-2,957,253,943,14
