"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-06-17,"Basilicata",17,40.63947052,15.80514834,0,0
2022-06-17,"Calabria",18,38.90597598,16.59440194,0,0
2022-06-17,"Campania",15,40.83956555,14.25084984,1,1
2022-06-17,"Emilia-Romagna",8,44.49436681,11.3417208,1,8
2022-06-17,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,2
2022-06-17,"Lazio",12,41.89277044,12.48366722,7,18
2022-06-17,"Liguria",7,44.41149315,8.9326992,0,0
2022-06-17,"Lombardia",3,45.46679409,9.190347404,11,33
2022-06-17,"Marche",11,43.61675973,13.5188753,0,0
2022-06-17,"Molise",14,41.55774754,14.65916051,0,0
2022-06-17,"Piemonte",1,45.0732745,7.680687483,1,2
2022-06-17,"Puglia",16,41.12559576,16.86736689,0,1
2022-06-17,"Sardegna",20,39.21531192,9.110616306,0,0
2022-06-17,"Sicilia",19,38.11569725,13.3623567,0,0
2022-06-17,"Toscana",9,43.76923077,11.25588885,0,1
2022-06-17,"PA Bolzano",21,46.49933453,11.35662422,0,0
2022-06-17,"PA Trento",22,46.06893511,11.12123097,0,1
2022-06-17,"Umbria",10,43.10675841,12.38824698,0,0
2022-06-17,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-06-17,"Veneto",5,45.43490485,12.33845213,0,4
2022-06-21,"Basilicata",17,40.63947052,15.80514834,0,0
2022-06-21,"Calabria",18,38.90597598,16.59440194,0,0
2022-06-21,"Campania",15,40.83956555,14.25084984,0,1
2022-06-21,"Emilia-Romagna",8,44.49436681,11.3417208,0,8
2022-06-21,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,2
2022-06-21,"Lazio",12,41.89277044,12.48366722,7,25
2022-06-21,"Liguria",7,44.41149315,8.9326992,0,0
2022-06-21,"Lombardia",3,45.46679409,9.190347404,5,38
2022-06-21,"Marche",11,43.61675973,13.5188753,0,0
2022-06-21,"Molise",14,41.55774754,14.65916051,0,0
2022-06-21,"Piemonte",1,45.0732745,7.680687483,1,3
2022-06-21,"Puglia",16,41.12559576,16.86736689,0,1
