"data","host","nuovi_casi","casi_totali"
2017-08-02,"uomini",4,4
2017-08-02,"equidi",1,1
2017-08-02,"uccelli bersaglio",5,5
2017-08-02,"uccelli selvatici",1,1
2017-08-02,"zanzare",10,10
2017-08-10,"uomini",-1,3
2017-08-10,"equidi",1,2
2017-08-10,"uccelli bersaglio",1,6
2017-08-10,"uccelli selvatici",0,1
2017-08-10,"zanzare",8,18
2017-08-30,"uomini",27,26
2017-08-30,"equidi",23,25
2017-08-30,"uccelli bersaglio",5,11
2017-08-30,"uccelli selvatici",0,1
2017-08-30,"zanzare",30,48
2017-09-06,"uomini",4,31
2017-09-06,"equidi",6,31
2017-09-06,"uccelli bersaglio",0,11
2017-09-06,"uccelli selvatici",6,7
2017-09-06,"zanzare",10,58
2017-09-13,"uomini",31,35
2017-09-13,"equidi",15,46
2017-09-13,"uccelli bersaglio",6,17
2017-09-13,"uccelli selvatici",2,9
2017-09-13,"zanzare",7,65
2017-09-20,"uomini",14,45
2017-09-20,"equidi",9,55
2017-09-20,"uccelli bersaglio",0,17
2017-09-20,"uccelli selvatici",0,9
2017-09-20,"zanzare",5,70
2017-09-27,"uomini",34,48
2017-09-27,"equidi",1,56
2017-09-27,"uccelli bersaglio",0,17
2017-09-27,"uccelli selvatici",0,9
2017-09-27,"zanzare",0,70
2017-10-04,"uomini",18,52
2017-10-04,"equidi",6,62
2017-10-04,"uccelli bersaglio",6,23
2017-10-04,"uccelli selvatici",7,16
2017-10-04,"zanzare",3,73
2017-10-11,"uomini",35,53
2017-10-11,"equidi",12,74
2017-10-11,"uccelli bersaglio",4,27
2017-10-11,"uccelli selvatici",3,19
2017-10-11,"zanzare",0,73
2017-10-18,"uomini",18,53
2017-10-18,"equidi",5,79
2017-10-18,"uccelli bersaglio",4,31
2017-10-18,"uccelli selvatici",0,19
2017-10-18,"zanzare",0,73
2017-10-25,"uomini",35,53
2017-10-25,"equidi",0,79
2017-10-25,"uccelli bersaglio",1,32
2017-10-25,"uccelli selvatici",0,19
2017-10-25,"zanzare",0,73
2017-11-02,"uomini",20,55
2017-11-02,"equidi",6,85
2017-11-02,"uccelli bersaglio",1,33
2017-11-02,"uccelli selvatici",0,19
2017-11-02,"zanzare",0,73
2017-11-08,"uomini",35,55
2017-11-08,"equidi",1,86
2017-11-08,"uccelli bersaglio",0,33
2017-11-08,"uccelli selvatici",0,19
2017-11-08,"zanzare",0,73
