"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","specie","nuovi_casi","casi_totali"
2021-08-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",1,1
2021-08-18,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",0,1
2021-08-25,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",0,1
2021-09-01,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"NA",1,1
2021-09-01,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",5,6
2021-09-01,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,"NA",3,3
2021-09-01,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",1,1
2021-09-08,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"NA",0,1
2021-09-08,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,"NA",1,1
2021-09-08,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",0,6
2021-09-08,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,"NA",0,3
2021-09-08,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",0,1
2021-09-15,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,"NA",1,1
2021-09-15,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"NA",0,1
2021-09-15,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,"NA",0,1
2021-09-15,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",0,6
2021-09-15,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"NA",1,1
2021-09-15,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,"NA",0,3
2021-09-15,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",0,1
2021-09-15,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"NA",2,2
2021-09-22,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,"NA",0,1
2021-09-22,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"NA",0,1
2021-09-22,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,"NA",0,1
2021-09-22,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"NA",0,6
2021-09-22,20,"Sardegna",91,"Nuoro","NU",40.32318834,9.330296393,"NA",0,1
2021-09-22,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,"NA",0,3
2021-09-22,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,"NA",0,1
2021-09-22,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"NA",0,2
2021-09-29,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,"NA",0,1
2021-09-29,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"NA",0,1
2021-09-29,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,"NA",0,1
