"data","host","nuovi_casi","casi_totali"
2012-09-27,"uomini",33,33
2012-10-04,"uomini",3,36
2012-10-10,"uomini",1,37
2012-10-17,"uomini",3,40
2012-10-24,"uomini",2,42
2012-10-31,"uomini",3,45
2012-11-07,"uomini",0,45
2012-11-14,"uomini",0,45
2012-11-21,"uomini",0,45
2012-11-28,"uomini",0,45
2012-12-05,"uomini",0,45
2012-12-12,"uomini",0,45
2013-09-05,"uomini",35,35
2013-09-12,"uomini",7,42
2013-09-19,"uomini",4,46
2013-09-26,"uomini",14,60
2013-10-03,"uomini",2,62
2013-10-10,"uomini",4,66
2013-10-17,"uomini",2,68
2013-10-24,"uomini",0,68
2013-10-31,"uomini",1,69
2013-11-07,"uomini",0,69
2013-11-14,"uomini",1,70
2013-11-21,"uomini",0,70
2013-11-28,"uomini",0,70
2014-09-02,"uomini",5,5
2014-09-09,"uomini",7,12
2014-09-17,"uomini",2,14
2014-09-24,"uomini",2,16
2014-10-01,"uomini",3,19
2014-10-08,"uomini",1,20
2014-10-15,"uomini",4,24
2014-10-22,"uomini",0,24
2014-10-29,"uomini",0,24
2014-11-05,"uomini",0,24
2014-11-12,"uomini",0,24
2014-11-19,"uomini",0,24
2014-11-26,"uomini",0,24
2015-07-29,"uomini",2,2
2015-08-05,"uomini",2,4
2015-09-02,"uomini",26,30
2015-09-09,"uomini",6,36
2015-09-16,"uomini",5,41
2015-09-23,"uomini",11,52
2015-09-30,"uomini",0,52
2015-10-07,"uomini",7,58
2015-10-14,"uomini",0,58
2015-10-21,"uomini",0,58
2015-10-28,"uomini",1,59
2015-11-29,"uomini",2,61
2016-07-28,"uomini",1,1
2016-09-01,"uomini",25,26
2016-09-07,"uomini",11,37
2016-09-14,"uomini",8,45
2016-09-21,"uomini",5,50
2016-09-28,"uomini",7,57
2016-10-05,"uomini",3,60
2016-10-19,"uomini",3,63
2016-10-26,"uomini",3,66
2016-10-31,"uomini",5,71
2017-08-02,"uomini",4,4
2017-08-02,"equidi",1,1
2017-08-02,"uccelli bersaglio",5,5
2017-08-02,"uccelli selvatici",1,1
2017-08-02,"zanzare",10,10
2017-08-10,"uomini",-1,3
2017-08-10,"equidi",1,2
2017-08-10,"uccelli bersaglio",1,6
2017-08-10,"uccelli selvatici",0,1
2017-08-10,"zanzare",8,18
2017-08-30,"uomini",27,26
2017-08-30,"equidi",23,25
2017-08-30,"uccelli bersaglio",5,11
2017-08-30,"uccelli selvatici",0,1
2017-08-30,"zanzare",30,48
2017-09-06,"uomini",4,31
2017-09-06,"equidi",6,31
2017-09-06,"uccelli bersaglio",0,11
2017-09-06,"uccelli selvatici",6,7
2017-09-06,"zanzare",10,58
2017-09-13,"uomini",31,35
2017-09-13,"equidi",15,46
2017-09-13,"uccelli bersaglio",6,17
