"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali"
2017-08-02,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,2,2
2017-08-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,1
2017-08-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,2,2
2017-08-02,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,1
2017-08-02,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,1,1
2017-08-02,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,1,1
2017-08-02,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,2,2
2017-08-10,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,3,5
2017-08-10,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,2
2017-08-10,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,2,4
2017-08-10,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,1,1
2017-08-10,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,1
2017-08-10,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-08-10,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,1
2017-08-10,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,1
2017-08-10,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2017-08-30,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,1,6
2017-08-30,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,8,10
2017-08-30,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,7,11
2017-08-30,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-08-30,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,2
2017-08-30,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,2,2
2017-08-30,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-08-30,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,7,8
2017-08-30,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,2,3
2017-08-30,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,2
2017-08-30,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,2,2
2017-09-06,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,6
2017-09-06,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,1,1
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,10
2017-09-06,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-09-06,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-09-06,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,2
2017-09-06,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,2
2017-09-06,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-09-06,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,9
2017-09-06,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,3
2017-09-06,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,1,1
2017-09-06,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,6,8
2017-09-06,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,1,3
2017-09-13,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,6
2017-09-13,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,11
2017-09-13,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,1,1
2017-09-13,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-09-13,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-09-13,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,2
2017-09-13,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,1,3
2017-09-13,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,1,1
2017-09-13,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-09-13,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,9
2017-09-13,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,2,5
2017-09-13,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-09-13,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,9
2017-09-13,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-09-20,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,3,9
2017-09-20,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,12
2017-09-20,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-09-20,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-09-20,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-09-20,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,2
2017-09-20,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-09-20,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-09-20,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-09-20,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,10
2017-09-20,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-09-20,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-09-20,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,9
2017-09-20,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-09-27,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
