"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","specie","nuovi_casi","casi_totali"
2017-08-02,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",1,1
2017-08-10,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-08-30,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-09-06,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",1,1
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Tortora",1,1
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Verdone",2,2
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Picchio",1,1
2017-09-06,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Passera d'Italia",1,1
2017-09-13,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-09-13,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Sparviero",1,1
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",0,1
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Tortora",0,1
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Verdone",0,2
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Picchio",0,1
2017-09-13,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Passera d'Italia",0,1
2017-09-13,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Gabbiano",1,1
2017-09-20,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-09-20,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Sparviero",0,1
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",0,1
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Tortora",0,1
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Verdone",0,2
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Picchio",0,1
2017-09-20,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Passera d'Italia",0,1
2017-09-20,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Gabbiano",0,1
2017-09-27,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-09-27,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Sparviero",0,1
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",0,1
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Tortora",0,1
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Verdone",0,2
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Picchio",0,1
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Passera d'Italia",0,1
2017-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Gabbiano",0,1
2017-10-04,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-10-04,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Sparviero",0,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Assiolo",1,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Balestruccio",1,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Colombaccio",1,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Fagiano",1,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",1,2
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gheppio",2,2
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Passera d'Italia",0,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Picchio",0,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Tortora",0,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Verdone",0,2
2017-10-04,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"Gabbiano",0,1
2017-10-11,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Civetta",0,1
2017-10-11,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,"Sparviero",0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Assiolo",0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Balestruccio",0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Colombaccio",0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Fagiano",0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gabbiano",0,2
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,"Gheppio",2,4
