"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","eta","nuovi_casi","casi_totali","tipo_infezione"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","<=14",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","15-44",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","45-64",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","65-74",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502",">=75",1,1,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR","3.990.381.075","8.591.183.151","<=14",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR","3.990.381.075","8.591.183.151","15-44",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR","3.990.381.075","8.591.183.151","45-64",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR","3.990.381.075","8.591.183.151","65-74",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR","3.990.381.075","8.591.183.151",">=75",2,2,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN","4.595.443.546","1.266.002.909","<=14",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN","4.595.443.546","1.266.002.909","15-44",1,1,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN","4.595.443.546","1.266.002.909","45-64",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN","4.595.443.546","1.266.002.909","65-74",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN","4.595.443.546","1.266.002.909",">=75",0,0,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV","4.566.754.571","1.224.507.363","<=14",0,0,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV","4.566.754.571","1.224.507.363","15-44",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV","4.566.754.571","1.224.507.363","45-64",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV","4.566.754.571","1.224.507.363","65-74",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV","4.566.754.571","1.224.507.363",">=75",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE","4.543.490.485","1.233.845.213","<=14",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE","4.543.490.485","1.233.845.213","15-44",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE","4.543.490.485","1.233.845.213","45-64",3,3,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE","4.543.490.485","1.233.845.213","65-74",3,3,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE","4.543.490.485","1.233.845.213",">=75",6,6,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","<=14",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","15-44",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO","4.594.149.817","1.362.212.502","45-64",0,0,"neuroinvasiva"
